operator,facility,status,cluster,address,lat,lng,district,inside_cma,ward_zone,cgwb_block,block_class_2024,block_dev_pct_2024,mw_disclosed_operational,mw_source_url,operator_water_disclosure,disclosure_source_url,inferred_water_low_mlyr_wue_0_15,inferred_water_central_mlyr_wue_0_73,inferred_water_high_mlyr_wue_1_8,caveats,nearest_named_water_bodies,nearest_named_distance_km
CtrlS,Chennai DC1 (part of Chennai DC Park),Operational,Ambattur,"Sector 3, Ambattur Industrial Estate, N. 1st Cross Main Rd, Tass Industrial Estate, Chennai",13.1193746,80.1507648,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,40,https://www.ctrls.com/datacenter-chennai/,"CtrlS FY23-24 sustainability report discloses group-level water consumption 409,037 KL (down from 468,330 KL FY22-23); no Chennai-facility split. Marketing claim: '119,662 KL annually saved by switching to air-cooled systems' without specifying number of facilities retrofitted.",https://www.ctrls.com/wp-content/uploads/2025/03/sustainability-report-2023-24.pdf,37,179,442,Operator page states '40 MW expandable to 265 MW' for the Chennai DC park; per-building MW (DC1 vs DC2) not disclosed by operator (only campus 72 MW combined cited via DCD secondary). Address from DataCenterMap secondary listing; operator page does not publish street address. Block-level Over Exploited classification (CGWB 2024) covers Ambattur revenue block; facility share of block draft unknown.,"Ambattur Lake (reservoi, 162ha, 1.6km); Araabath Lake (reservoi, 11ha, 1.6km); Ayapakkam Lake (water, 30ha, 3.1km)",1.59
CtrlS,Chennai DC2,Operational,Ambattur,"20, 3rd Main Rd, Old Ambattur, Sai Nagar, Ambattur Industrial Estate, 600058",13.118,80.155,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,27,https://www.datacenterdynamics.com/en/news/ctrls-launches-chennai-dc-park/,See CtrlS DC1 row - same operator disclosure,https://www.ctrls.com/wp-content/uploads/2025/03/sustainability-report-2023-24.pdf,25,121,298,27 MW figure from DCD launch coverage secondary; CtrlS's own page does not publish per-building MW. Address from DataCenterMap. Campus total per launch coverage = 72 MW combined IT load supported by 120 MVA substation.,"Ambattur Lake (reservoi, 162ha, 1.7km); Araabath Lake (reservoi, 11ha, 2.1km); Korattur Lake (lake, 197ha, 2.9km)",1.71
NTT GDC,Chennai 1 / CHN1,Operational,Velappanchavadi,"67, Mathiravedu, Velappanchavadi, Poonamallee High Rd, 600077 (per DataCenterMap; NTT's own page does not publish street address)",13.044,80.155,Tiruvallur,Yes,Outside Greater Chennai Corporation core wards - verify ward via CMDA,Not in CGWB Chennai block dataset,Pending - block classification not in platform dataset for Velappanchavadi,N/A,2-4 (conflicting),https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india/chennai-1-data-center,"NTT 2025 Global Data Centers Sustainability Report (the first standalone GDC report) OMITS India water disclosure entirely. Prior cycle reported 413,779 KL withdrawn / 203,297 KL consumed across 15 India facilities in 2023. No Chennai-facility-level disclosure.",https://services.global.ntt/-/media/ntt/global/campaigns/global-data-centers-2025-sustainability-report/global-data-centers-2025-sustainability-report-ntt-data.pdf,3,13,33,NTT's own pages publish CONFLICTING IT-load figures for CHN1: '2 MW' on one excerpt vs '4 MW' on another - verify in browser. Used midpoint 3 MW for inference. Velappanchavadi sits outside the named CGWB blocks in our platform dataset; classification pending district-level CGWB Tiruvallur profile.,"Porur Lake (water, 29ha, 1.3km); JJ Nagar Lake (lake, 1ha, 4.3km); Ayanambakkam Tank (lake, 78ha, 4.3km)",1.28
NTT GDC,Chennai 2 / CHN2 Building A,Operational,Ambattur,"Ambattur Industrial Estate, 6-acre campus (operator does not publish street address)",13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,17.4,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india/chennai-2-data-center,See NTT CHN1 - same disclosure regression in 2025 report,https://services.global.ntt/-/media/ntt/global/campaigns/global-data-centers-2025-sustainability-report/global-data-centers-2025-sustainability-report-ntt-data.pdf,16,78,192,Operator publishes 17.4 MW IT load per building; full campus build-out 34.8 MW from 2 buildings. Building A live since launch announcement 29 Jun 2023. Integrated MIST subsea cable landing on-site.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
NTT GDC,Chennai 2 / CHN2 Building B,Under Construction,Ambattur,Same campus as CHN2 Building A,13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,17.4,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/india/chennai-2-data-center,See NTT CHN1,https://services.global.ntt/-/media/ntt/global/campaigns/global-data-centers-2025-sustainability-report/global-data-centers-2025-sustainability-report-ntt-data.pdf,16,78,192,Operator-published planned IT capacity 17.4 MW for Building B; commissioning timeline not disclosed.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
STT GDC India,STT Chennai 1 (VSB),Operational,CBD-VSB,"VSB area Chennai (operator page states 'located in VSB, 80,000 sq. ft.')",13.063,80.262,Chennai,Yes,CBD - verify exact ward,Not specifically identified in CGWB Chennai dataset,Pending - VSB area block mapping,N/A,2.5,https://www.sttelemediagdc.com/in-en/locations/chennai,"STT GDC India ESG Report FY2025 (published March 2026; covers FY 2024-25) discloses India total water withdrawal 1,149,020 KL FY 2024-25, up 8.5% from 1,059,011 KL FY 2023-24. India WUE 0.73 average 2020-2024 (34.5% reduction over period). STT is the only operator in the named Chennai peer set to publish a country-level WUE. No Chennai-facility-level split.",https://assets.sttelemediagdc.com/sttgdc/global_en/public/2026-03/STT-GDC-India-ESG-Report-FY2025.pdf,2,11,28,VSB facility (2.5 MW) much smaller than Ambattur Chennai 2 facility (25.5 MW). VSB likely the legacy Tata Communications DC site that transferred to STT post-Tata-Singtel deal but this is not confirmed by either operator's current pages.,"Kapaleeshwara Koil Kulam (pond, 3ha, 3.3km); ICF Lake (reservoi, 13ha, 6.6km); Mariamman Koil Kulam (pond, 1ha, 7.2km)",3.34
STT GDC India,STT Chennai 2,Operational,Ambattur,"Ambattur, near Red Hills Rd / Kallikuppam (per industry reports; operator page does not publish street address)",13.117,80.155,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,25.5,https://www.sttelemediagdc.com/in-en/locations/chennai,See STT Chennai 1 - same group disclosure. Chennai 2 specifically referenced on STT GDC India water-conservation page as having on-site RO plant with 40 KL/day blowdown reuse and 2.7 million litres on-site water storage; site-level annual KL not disclosed.,https://www.sttelemediagdc.com/in-en/resources/water-conservation-data-centres-innovations-sustainable-future,23,114,281,Operator-published IT load 25.5 MW; LEED Gold + TIA-942 Rated-3 certified.,"Ambattur Lake (reservoi, 162ha, 1.6km); Araabath Lake (reservoi, 11ha, 2.1km); Korattur Lake (lake, 197ha, 2.9km)",1.63
STT GDC India,STT Chennai 3,Operational,Ambattur,Ambattur (operator page does not publish street address),13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,15,https://www.sttelemediagdc.com/in-en/locations/chennai,See STT Chennai 1,https://assets.sttelemediagdc.com/sttgdc/global_en/public/2026-03/STT-GDC-India-ESG-Report-FY2025.pdf,14,67,166,,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
STT GDC India,STT Chennai 4,Under Construction,Ambattur,Ambattur (operator page does not publish street address),13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,18,https://www.sttelemediagdc.com/in-en/locations/chennai,See STT Chennai 1,https://assets.sttelemediagdc.com/sttgdc/global_en/public/2026-03/STT-GDC-India-ESG-Report-FY2025.pdf,17,81,199,"Operator page states 'under development, will add 18 MW IT capacity upon completion.'","Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
STT GDC India,STT Chennai 7,Operational,OMR-Siruseri,"SIPCOT IT Park, Siruseri",12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur (CGWB block extends south to include SIPCOT),Safe,60,7.2,https://www.sttelemediagdc.com/in-en/locations/chennai,See STT Chennai 1,https://assets.sttelemediagdc.com/sttgdc/global_en/public/2026-03/STT-GDC-India-ESG-Report-FY2025.pdf,7,32,79,"OMR cluster sits in CGWB Sholinganallur block classified 'Safe' at 60% extraction-to-recharge in 2024. CAVEAT (Veeraarasu via Citizen Matters May 2024): 'areas like Sholinganallur in OMR might have a better groundwater level but the water may not be potable.' Unmetered tanker extraction (~Rs 1,000 cr/yr OMR market per FOMRRA / DT Next 2026) not in CGWB draft denominator. Block geography larger than DC site.","Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
