Sl. No.,Classification,Name and address of the industry,Latitude,Longitude,Remarks,Source
1,Aluminium,"HINDALCO, P.B-1, Belgaum-590 010.",15.9082675,74.5342441,,KSPCB 17 Category List
2,Distillery,"United Spirits Ltd ( previously Pampasara Distilleries Ltd.), (ISO 14000) Hospet,
Bellary District.",12.88742296,77.44606045,,KSPCB 17 Category List
3,Distillery,"Godavari Bio-Refineries(Previously M/s.Somaiya Organo Chemicals,) Sameerwadi-
597 316 Bagalkot District.",16.39071124,75.04511257,,KSPCB 17 Category List
4,Distillery,"Siddapura Distilleries Ltd., Siddapur, Jamakhandi Taluk, Bagalkote District",16.5042632,75.2915174,,KSPCB 17 Category List
5,Distillery,"Karthik Agro Industries Pvt Ltd
sy.no 92.93, Hooligeri village,  Badamai Taluk, Bagalkote District",16.1416049,75.594085,,KSPCB 17 Category List
6,Distillery,"Sri Malaprabha Sahakari Sakkare Karkhane Niyamit (distillery unit),  M.K.Hubli ?
591 153, Belgaum District.",15.6933876,74.7146856,,KSPCB 17 Category List
7,Distillery,Sathish Sugars Hunshyal P G village Gokak taluk Belgaum district,16.2430563,74.9038451,,KSPCB 17 Category List
8,Distillery,"Amruth Distilleries Limited, 13 Mile, Bangalore Mysore Road, Kambipura, Bangalore-74",12.8890489,77.4520753,,KSPCB 17 Category List
9,Distillery,"Nirani Sugars Ltd, (Distillery Unit), Sy. No. 18&19, Malapur Village, Mudhol Tq,
Bagalkot Dist.",16.35035209,75.27056384,,KSPCB 17 Category List
10,Distillery,"J.P. Distilleries (P) Ltd., Heggadathi Halli, Kunigal Taluk, Tumkur Dist.  (Actual address is 8, Tumkur Road, Mahali Village, Dasanpur Nelamangala Taluk, Bengaluru, Karnataka 562123)",13.07532578,77.44934827,,KSPCB 17 Category List
11,Distillery,"Indian Cane power Ltd [Previously Samson Distilleries (P) Ltd.,] Duggavathi Village
? 583 137, Harappanahally Taluk, Davangere Dist.",14.6319932,75.8443996,,KSPCB 17 Category List
12,Distillery,"SLN Distilleries (p) Ltd., Block No.459, Garaga Village, Dharwad Taluk and District.",15.5503709,74.9359878,,KSPCB 17 Category List
13,Distillery,Herms Distilleries Private Limited Sy No 98 Yardvadi Raibhagh taluk Belgavi district,16.52455187,74.72167431,,KSPCB 17 Category List
14,"Bulk Drug and
Pharmaceuticals","Hikal Ltd., No.82-A, Jigani Industrial Area, Anekal Taluk, Bangalore District.",12.76840271,77.63872641,There are two units of Hikal - Close to each other,KSPCB 17 Category List
15,"Bulk Drug and
Pharmaceuticals","Ace Bright Pvt Limited, Unit II (CDYMAX, UNIT-II  ) No.116/117, KIADB Inddl.
Area, Jigani II Phase, Bangalore",12.7743154,77.6363434,,KSPCB 17 Category List
16,"Bulk Drug and
Pharmaceuticals","Kumar Organics Products (p) Ltd., 62, Jigani Industrial Area, Anekal Taluk,
Bangalore.",12.7667236,77.64117,,KSPCB 17 Category List
17,Bulk Drug and Pharmaceuticals,"Jubilant Generics Ltd.,(Formerly Jubilant Organosys Ltd., (Formely M/s. Max India
(P) Ltd)  No.56, KIADB, Indl. Area, Nanjangud-571 301, Mysore Dist.",12.14101896,76.65886536,,KSPCB 17 Category List
18,"Bulk Drug and
Pharmaceuticals","Solara Active Pharma Sciences Limited (formerly Sequent Pharmaceuticals ) Plot
No.120 A/B, KIADB Industrial Area Baikampady, Mangalore ? 575 011.",12.95180293,74.82553056,,KSPCB 17 Category List
19,"Bulk Drug and
Pharmaceuticals","Anthem Biosciences Private Limited, Plot No.49, KIADB Bommasandra Industrial
Area, Phase-I, Bangalore-560 099",12.8153889,77.6847628,,KSPCB 17 Category List
20,Bulk Drug and Pharmaceuticals,"Vani Organics   Kolhar Industrial Area, Bidar District.",17.9207514,77.4610492,,KSPCB 17 Category List
21,"Bulk Drug and
Pharmaceuticals","Anugraha Chemicals, Shed No.D-48, KSSIDC Industrial Estate, Doddaballapura,
Bangalore Rural District",13.2481541,77.5549321,,KSPCB 17 Category List
22,Bulk Drug and Pharmaceuticals,"Apotex Pharmachem India Ltd., Plot No. 1A, 4th Phase, Bommasandra - Jigani Link road, Industrial Area, Anekal Taluk, Bangalore",12.8103248,77.6605264,,KSPCB 17 Category List
23,Bulk Drug and Pharmaceuticals,"Sathyadeeptha Pharmacueticals Limited, Plot No. 101, Humnabad Industrial Area, , Bidar",17.76577574,77.09367968,,KSPCB 17 Category List
24,"Bulk Drug and
Pharmaceuticals","Solara Active Pharma Sciences Limited (formerly Sequent Scientific Limited), Sy.
No. 265,250,251,252 & 233, Thoremavu village, Nanjangud Taluk, Mysore District",12.1503332,76.69742242,,KSPCB 17 Category List
25,"Bulk Drug and
Pharmaceuticals","Microlabs Limited, Unit-III, Bommasandra-Jigani link Road, industrial area, 4th
Phase, Anekal taluk, Bangalore.",12.84469551,77.68222368,,KSPCB 17 Category List
26,"Bulk Drug and
Pharmaceuticals","Azekem Lab  Private Limited, Plot No.94, Kolhar Industrial Area, Bidar",17.90002661,77.45608521,,KSPCB 17 Category List
27,Bulk Drug and Pharmaceuticals,"Lake chemicals Pvt. Ltd., Bommasandra, Anekal Tq, Bangalore",12.77999754,77.74705826,,KSPCB 17 Category List
28,"Bulk Drug and
Pharmaceuticals","HLL Life Sciences., Kanagala Village, Hukkeri Taluk, Belgaum",16.31003921,74.42916681,,KSPCB 17 Category List
29,"Bulk Drug and
Pharmaceuticals","Stellance Pharma Science (Karnataka Chemsyn Ltd.) plot No. 456A & B, Jigani
Industrial Area, Anekal taluk, Bangalore",12.77016012,77.63635422,,KSPCB 17 Category List
30,"Bulk Drug and
Pharmaceuticals","Bal Pharma Limited, Bommasandra-Jigani Link Rd., Anekal Tq.",12.8123348,77.6852703,,KSPCB 17 Category List
