Sl No,Name of STP,Implementing Agency,Operating Capacity,New/upgradation Capacity taken up ,Proposed Capacity (i.e construction has not started or approval is pending),Final capacity,Process,Status,Latitude,Longitude,Data Sources
1,Nagasandra Phase I,BWSSB,20,,,20,Extended Aeration,"Operational since 2005
& mechanical Upgradation taken up",13.0430,77.4929,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
2,Nagasandra Phase II,BWSSB,20,,,20,Sequential Batch Reactor,Operational since 2018,13.042,77.4920,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
3,Chikkabanavara I,BWSSB,5,,,5,Sequential Batch Reactor,Operational since 2018,13.0830,77.5130,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
4,TG halli,BWSSB,20,,,20,Extended Aeration,Operational since 2023,12.9850,77.3600,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
5,Hesarghatta ,BWSSB,3,,,3,Sequential Batch Reactor,Under Construction under BWSSB Funds,77.4776,77.4776,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
6,Chikkabanavara II,BWSSB,,4,,4,Extended Aeration with BNR,Under Construction under JICA CP 27,13.0865,77.5059,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
7,Nagasandra 9 MLD,BWSSB,,9,,9,Extended Aeration with BNR,Under Construction under JICA CP 27,13.0411,77.4903,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
8,Karihobanahalli,BWSSB,,10,,10,Extended Aeration with BNR,Under Construction under JICA CP 27,13.0165,77.4769,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
9,Hosahalli,BWSSB,,6,,6,Extended Aeration with BNR,Under Construction under JICA CP 27,12.9965,77.4706,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
10,Abbigere ,BWSSB,,5,,5,Sequential Batch Reactor,Under Construction under WBS-1,13.0791,77.5313,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery (Location to be confirmed)"
11,Mylasandra Ph-I,BWSSB,75,25,,100,Extended Aeration,Operational since 2005 & upgradation work under progress,12.9190,77.4940,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
12,Doddabele ,BWSSB,20,15,,35,Sequential Batch Reactor,Operational since 2018 & upgradation work under progress,12.897,77.4770,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
13,Kengeri,BWSSB,60,,20,80,Secondary-Activated Sludge Process,Operational since 2018 & upgradation work under progress,12.9150,77.4890,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
14,Doddabele ,BWSSB,40,,,40,Sequential Batch Reactor,Operational since 2019,12.8980,77.4780,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
15,V.Valley ,BWSSB,150,,,150,Activated Sludge Process (ASP),Operational since ,12.9190,77.4940,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
