Name of Facility,Facility Details,Landfill Capacity/Month (kgs),Incineration Capacity (kgs)/Month,Capacity (KLD),Latitude ,Longitude,Remarks,Source
"M/s Karnataka Waste Management Project
KIADB,Industrial Area, Dobbaspet, Nelamangal Tq,
Bangalore RuralDistt-562111","Integrated Facility (Both
Secured landfill and
Incinerator)",3333000,1044000,,13.2304145,77.25402249,,CPCB Data 
"M/s Mother Earth Environ Tech Private Limited
Plot No 217, 2nd phase KIADB Industrial Area,
Harohalli, Kanakapura Taluk, Ramanagara Distric,
Bangalore-562112",Secured land fill facility (The mentioned capacity is for 10 years),791666.6667,,,12.67682922,77.4493611,,CPCB Data 
"M/s Gomti Incinco,
# 3 – B-2, 1st Phase, KIADB Indl Area, Kumbalgodu,
Mysore Road, Bangalore – 560 074","Standalone Incinerator and pre-processing of alternate fuel and raw material (afr) for co
incineration in cement kilins",75000,,,12.87381348,77.44358428,,CPCB Data 
"M/s Bangalore Eco Park (P) Ltd. No 2968, KIADB
Industrial Area, Sompura 1st Stage, Nidavanda,
Nelamangala, Bengaluru Rural District.",Standalone Incinerator and CETP,,500000,100,13.23666778,77.27062758,,CPCB Data 
"M/s E Nano Incintech,
Plot No.,342-B, of Harohalli Industrial Area,2nd
Phase, 2nd Sector,
Ramanagar",Standalone Incinerator,,200000,,12.67969884,77.44193781,,CPCB Data 
"Eco Green Solution Systems Pvt Ltd
",Common Effluent Treatment plant (Inorganic effluent),,,100,13.24735747,77.55593425,,MPR Dec 2025
"M/s. Pai & Pai Chemicals (Unit -
1), Plot No. 29/A, 1st Phase,
KIADB Industrial Area,
Kumbalagodu, Kengeri Hobli,
Bengaluru - 560 079",Common Effluent Treatment plant for inorganic industrial effluent,,,400,12.86997305,77.44183199,Currently 300 KLD and being expanded to 400 KLD,MPR Dec 2025
"M/s. Pai & Pai Chemicals(I)Pvt
Ltd, Unit-II, Plot No. 25-D, 1st
Phase, KIADB Industrial Area,
Kumbalagodu, Kengeri Hobli,
Bengaluru - 560 074.","Common Effluent Treatment plant (For Treatment of
High TDS effluent)",,,40,12.86997305,77.44183199,,MPR Dec 2025
"M/s. Pai & Pai Chemicals (Unit -
1), Plot No. 29/A, 1st Phase,
KIADB Industrial Area,
Kumbalagodu, Kengeri Hobli,
Bengaluru - 560 079",Common Effluent Treatment plant for Organic industrial effluent,,,100,12.86997305,77.44183199,To be operational,MPR Dec 2025
"Maridi Bio Industries, Sy. No.1/37 & 1/38, Gabbadi Village, Kanakapura Road",Common Biomedical waste Treatment Facility,,250000,,12.70534232,77.48288588,,kspcb 
"Maridi Bio Industries Private Limited ,312-A2 & 312-A2 (Part) , Plot No 312-A2
& 312-A2 (Part) , Harohalli I.A Phase II",common biomedical waste treatment facility,,600000,,12.67469411,77.44484889,,kspcb 
"M/s. CETP, KIADB, Apparel
Park, Doddaballapura, Bengaluru
Rural Dist.",Common effluent treatment - textiles,,,5000,13.26452255,77.5601321,Location to be confirmed,MPR Dec 2025
"M/s. Medicare Environmental Management
Pvt. Ltd., Nelamangala Taluk, Bangalore Rural",common biomedical waste treatment facility,,150000,,13.2236356,77.26044727,,
