spine_id,year,status,dw_scenes_median,pixels,share_water,share_trees,share_grass,share_flooded_vegetation,share_crops,share_shrub_and_scrub,share_built,share_bare,share_snow_and_ice
gba-bbmp-001,2017,ok,9,64,0.3132,0.6862,0.0,0.0,0.0,0.0,0.0006,0.0,0.0
gba-bbmp-001,2018,ok,24,64,0.7807,0.1971,0.0,0.0,0.0,0.0,0.0222,0.0,0.0
gba-bbmp-001,2019,ok,21,64,0.7529,0.0667,0.0,0.0,0.0,0.0,0.1804,0.0,0.0
gba-bbmp-001,2020,ok,16,64,0.4891,0.5094,0.0,0.0,0.0,0.0,0.0015,0.0,0.0
gba-bbmp-001,2021,ok,16,64,0.4426,0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gba-bbmp-001,2022,ok,19,64,0.7152,0.2848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gba-bbmp-001,2023,ok,18,64,0.7496,0.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gba-bbmp-001,2024,ok,18,64,0.8463,0.1077,0.0,0.0,0.0,0.0,0.046,0.0,0.0
gba-bbmp-001,2025,ok,21,64,0.7496,0.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gba-bbmp-001,2026,ok,19,64,0.8261,0.1724,0.0,0.0,0.0,0.0,0.0015,0.0,0.0
gba-bbmp-002,2017,insufficient,7,855,,,,,,,,,
gba-bbmp-002,2018,ok,23,855,0.2637,0.2978,0.0,0.1918,0.1221,0.1238,0.0007,0.0,0.0
gba-bbmp-002,2019,ok,23,855,0.0,0.1994,0.0,0.0,0.0,0.8006,0.0,0.0,0.0
gba-bbmp-002,2020,ok,17,855,0.0,0.2957,0.0,0.0,0.0199,0.6844,0.0,0.0,0.0
gba-bbmp-002,2021,ok,16,855,0.0,0.0,0.0,0.0,0.0033,0.9967,0.0,0.0,0.0
gba-bbmp-002,2022,ok,18,855,0.1446,0.0269,0.0,0.0093,0.297,0.5218,0.0004,0.0,0.0
