spine_id,ktcda_key,ktcda_name,ktcda_custodian,osm_id,osm_name,corporation,ward_name,osm_area_ha,observed_max_area_ha,footprint_area_ha,observed_outside_osm_ha,osm_outside_observed_ha,osm_wet_share,osm_occ_mean,clear_obs_median,area_occ_05,area_occ_10,area_occ_25,area_occ_50,halo_m,ring_m,interior_area_ha,interior_px_10m,interior_px_20m,ring_share,shore100_share,boundary_provenance,boundary_confidence,flags,adjacent_osm
gba-bbmp-001,BBMP#1,Ambalipura Kelagina kere,BBMP,232981265,Ambalipura Lower Lake,South,Kasavanahalli,2.2,1.35,2.2,0.0,0.86,0.636,0.267,302,1.58,1.12,0.88,0.64,250,10,1.59,159,39,0.277,1.0,osm+observed_max,medium,,
gba-bbmp-002,BBMP#2,Gunjur Palya kere,BBMP,1088209009,Gunjuru Palya Lake,East,Gunjur,12.84,9.86,12.84,0.01,2.99,0.784,0.156,303,10.1,9.04,1.91,0.06,250,10,11.25,1125,281,0.124,0.874,osm+observed_max,medium,,
gba-bbmp-003,BBMP#3,Gunjuru Karmelaram lake,BBMP,27993527,Carmelaram Lake,East,Gunjur,2.09,0.73,2.09,0.0,1.36,0.43,0.076,308,0.9,0.49,0.16,0.0,250,10,1.45,145,36,0.306,1.0,osm+observed_max,medium,osm_mostly_dry,
gba-bbmp-004,BBMP#4,Panathur lake,BBMP,17062035,Panathuru Kere,East,Panathur,4.16,4.28,4.51,0.36,0.24,0.949,0.52,311,4.4,3.58,3.04,2.44,250,10,3.47,346,86,0.23,1.0,osm+observed_max,medium,,
gba-bbmp-005,BBMP#5,Varanasi Lake,BBMP,44546801,Jimkenahalli Kere,East,Byrathi,1.9,1.77,2.14,0.25,0.38,0.836,0.342,330,2.21,1.56,1.19,0.77,250,10,1.3,130,32,0.391,1.0,osm+observed_max,medium,,
gba-bbmp-006,BBMP#6,Amblipura melina kere,BBMP,27993889,Ambalipura Upper Lake,South,Kasavanahalli,3.44,3.45,4.9,1.5,1.49,0.589,0.135,299,3.89,2.41,1.01,0.08,250,10,2.95,295,73,0.398,1.0,osm+observed_max,medium,,
gba-bbmp-007,BBMP#7,Kaigondanahalli Lake,BBMP,6820030,Kaikondrahalli Lake,South,Kasavanahalli,16.54,30.0,31.75,15.44,1.97,0.889,0.641,298,33.14,19.93,14.91,11.8,1000,10,20.17,2017,504,0.365,0.965,osm+observed_max,medium,,
gba-bbmp-008,BBMP#8,Kasavanahalli lake,BBMP,62381586,Kasavanahalli Lake,South,Kasavanahalli,13.06,13.12,13.91,0.87,0.81,0.947,0.784,298,13.33,12.39,11.8,11.0,250,10,12.04,1204,301,0.134,0.853,osm+observed_max,medium,,
gba-bbmp-009,BBMP#9,Haraluru kere,BBMP,111563782,Haralur Lake,South,Kasavanahalli,7.94,8.22,8.56,0.64,0.36,0.961,0.741,303,8.57,7.69,7.01,6.26,250,10,6.83,682,170,0.202,0.984,osm+observed_max,medium,,
gba-bbmp-010,BBMP#10,Sowl kere,BBMP,350098022,Saul Kere,East,Shivanasamudra Ward,16.66,13.65,18.19,1.54,4.54,0.738,0.228,297,13.88,11.67,6.21,2.14,250,10,16.21,1621,405,0.109,0.797,osm+observed_max,medium,,
