spine_id,ktcda_key,ktcda_name,custodian,corporation,ward_name,osm_id,kspcb_join,kspcb_distance_m,kspcb_serial,kspcb_name,kspcb_class,kspcb_month,kspcb_do_mgl,kspcb_bod_mgl,kspcb_turbidity_ntu,kspcb_tss_mgl,kspcb_fecal_coliform_mpn,programme_state,programme_source_class,programme_match_names,cascade_position,degree_in,drains_to,upstream_lakes
gba-bbmp-001,BBMP#1,Ambalipura Kelagina kere,BBMP,South,Kasavanahalli,232981265,inside_footprint,0,113,"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",E,2026-06,1.2,25,16.8,20,700,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Lower Ambalipura,2,1,Iblur Lake,27993889:
gba-bbmp-002,BBMP#2,Gunjur Palya kere,BBMP,East,Gunjur,1088209009,none,,,,,,,,,,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Gunjur Palya,3,1,Varthur Lake,1421748891:
gba-bbmp-003,BBMP#3,Gunjuru Karmelaram lake,BBMP,East,Gunjur,27993527,none,,,,,,,,,,,works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation,Carmalaram,1,0,Gunjuru Palya Lake,
gba-bbmp-004,BBMP#4,Panathur lake,BBMP,East,Panathur,17062035,inside_footprint,0,126,Panathur Lake,E,2026-06,3.4,10,5.8,BDL,79,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Panathur,4,2,Varthur Lake,27993463:; 790389588:
gba-bbmp-005,BBMP#5,Varanasi Lake,BBMP,East,Byrathi,44546801,inside_footprint,0,124,Varanasi Lake,E,2026-06,3.5,12,23.6,32,940,,,,1,0,Ramapura Kere,
gba-bbmp-006,BBMP#6,Amblipura melina kere,BBMP,South,Kasavanahalli,27993889,override_none,,,,,,,,,,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Upper Ambalipura,1,0,Ambalipura Lower Lake,
gba-bbmp-007,BBMP#7,Kaigondanahalli Lake,BBMP,South,Kasavanahalli,6820030,inside_footprint,0,22,Kaikondanahalli Lake,D,2026-06,5.4,6,35.8,42,3400,,,,5,4,Saul Kere,62381586:; 111563782:; 781696180:; 1069600852:
gba-bbmp-008,BBMP#8,Kasavanahalli lake,BBMP,South,Kasavanahalli,62381586,inside_footprint,0,79,Kasavanahalli Lake,D,2026-06,5.6,5,8.8,12,3200,,,,4,6,Kaikondrahalli Lake,18077303:; 19427514:; 111563782:; 133729401:; 350153647:; 781696180:
gba-bbmp-009,BBMP#9,Haraluru kere,BBMP,South,Kasavanahalli,111563782,inside_footprint,0,31,Haralur Lake,D,2026-06,5.5,5,8.5,12,580,,,,3,4,Kasavanahalli Lake,18077303:; 19427514:; 133729401:; 350153647:
gba-bbmp-010,BBMP#10,Sowl kere,BBMP,East,Shivanasamudra Ward,350098022,nearest_name_conflict,10,,,,,,,,,,,,,6,4,,6820030:; 17083906:; 62381586:; 1069600852:
gba-bbmp-011,BBMP#11,Devarabeesanahalli Lake,BBMP,East,Shivanasamudra Ward,17083842,inside_footprint,0,71,Devarabeesanahalli Lake,E,2026-06,1.7,30,109,124,3100,,,,1,0,,
gba-bbmp-012,BBMP#12,Doddakanahalli kere,BBMP,East,Gunjur,17083906,inside_footprint,0,78,Doddakannehalli Lake,D,2026-06,5.6,5,35.2,40,840,,,,2,1,Saul Kere,477154739:
gba-bbmp-013,BBMP#13,Munnekolalu kere,BBMP,East,Priyadarshini Ward,18077306,inside_footprint,0,96,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",E,2026-06,1.2,40,9.1,14,79,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Munnekolala,2,1,Varthur Lake,6183523:
gba-bbmp-014,BBMP#14,Chinnappanahalli,BBMP,East,Priyadarshini Ward,6183523,inside_footprint,0,70,Chinnappanahalli Lake,E,2026-06,3,13,7.3,BDL,140,,,,1,0,Munekolala Lake,
gba-bbmp-015,BBMP#15,Shilavanthana kere,BBMP,East,Whitefield,45860708,override,0,77,Sheelavanta-Whitefield Lake,E,2026-06,2.5,12,18.2,24,310,,,,3,3,Kelavarapalli reservoir,120904870:; 130111880:; 866148184:
gba-bbmp-016,BBMP#16,Kundalahalli Lake,BBMP,East,Kundalahalli,120904870,inside_footprint,0,66,Kundalahalli Lake,D,2026-06,5.9,5,5.2,BDL,340,,,,1,0,Thubarahalli Lake,
gba-bbmp-017,BBMP#17,Siddapura Lake,BBMP,,,,no_footprint,,,,,,,,,,,BBMP budget 2025-26 (24 lakes; Rs 50 cr) Rs 1.75 cr,press,Siddapura,,,,
gba-bbmp-018,BBMP#18,Garudachar Palya Lake,BBMP,East,Garudachar Palya,95639129,inside_footprint,0,68,Garudacharpalya Tank,E,2026-06,1.8,42,7.8,BDL,430,,,,1,0,Mahadevapura Lake,
gba-bbmp-019,BBMP#19,Garudachar Palya (Goshala) Lake,BBMP,East,Garudachar Palya,17426666,inside_footprint,0,127,Garudacharpalya Lake-2,D,2026-06,5.4,6,15.6,20,260,,,,1,0,Doddanekundi Lake,
gba-bbmp-020,BBMP#20,Doddanekundi lake,BBMP,East,Dodda Nekkundi,35324030,nearest_name_agrees,1,15,Doddanekkundi Lake,D,2026-06,4.1,6,12.8,16,17,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,Doddanekundi,3,5,,8250847:; 17223075:; 17426666:; 17426667:; 95639129:
gba-bbmp-021,BBMP#21,Sadaramangala Lake,BBMP,East,Belathur,1455401194,nearest_name_agrees,353,64,Sadaramangala Lake,E,2026-06,2.6,27,8.3,BDL,580,,,,,,,
gba-bbmp-022,BBMP#22,Bhoganahalli Lake,BBMP,East,Panathur,790389588,inside_footprint,0,114,"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",E,2026-06,2,19,8.6,BDL,790,,,,1,0,Panathuru Kere,
