rank,spine_id,name,ktcda_name,custodian,corporation,ward,footprint_ha,season,clear_passes,need_class,need_reason,condition_band,condition_inputs,stakes,tractability,urgency,programme,programme_detail,programme_source_class,kspcb_class,need_index,confidence,W1,W2,W2_band,Q1,Q1_p7,W2_p7,H2,B1,B1_change_2019,froth_events_per_year_2019_25,custody_lakes_downstream,buildings_in_catchment,cascade_position,boundary_confidence,flags,band_notes
1,gba-bbmp-141,Yelahanka Amani kere,Yelahanka Amani kere,BBMP,North,Aerocity,98.56,pre-monsoon (Mar-May) 2026,18,Fund now,chlorophyll proxy 0.42; regulator E; nothing on record,E,C1=A C3=A(A/B) C4=A C5=E(D/E) C8=A G2=E,High,High,Rising,none,,,E,2.9,medium,0.9528,0.043,0.0544,0.4239,98.1,25.2,0.97,0.0,0.0,0.14,0,7186,5,medium,,C3 candidates A/B; C5 candidates D/E
2,gba-forest-002,Puttenahalli Lake,Puttenahalli Lake,Forest Department,North,Doddabettahalli,8.73,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 100%; holds 0% of its extent; regulator E; nothing on record,E,C1=E C3=A(A/B) C4=E C8=A G2=E,High (lifted: cascade),High,Rising,none,,,E,2.9,medium,0.0,1.0,0.0501,,,96.1,0.0,0.0,-0.377,0.14,1,5562,4,medium,,C3 candidates A/B
3,gba-bbmp-094,Doddakalasandra Lake,Doddakallasandra Lake,BBMP,South,Anjanapura,5.82,pre-monsoon (Mar-May) 2026,18,Fund now,vegetation 99%; holds 0% of its extent; regulator D; nothing on record,E,C1=E C3=B(A/B) C4=E C8=B G2=D,High (lifted: cascade),High,Rising,none,,,D,2.9,medium,0.0,0.987,0.0605,,,95.2,0.0,0.0272,0.002,0.86,2,2105,2,medium,,C3 candidates A/B
4,gba-bbmp-128,Kannalli kere,Kanna halli lake,BBMP,,,22.48,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 93%; holds 0% of its extent; regulator E; nothing on record,E,C1=E C3=A(A/B) C4=E C8=A G2=E,High,High,Steady,none,,,E,2.65,medium,0.0004,0.9306,0.0615,,,77.8,0.001,0.0048,0.003,0.14,2,7158,3,medium,,C3 candidates A/B
5,gba-bbmp-137,Hosakerahalli Lake,Hoskerehalli Lake,BBMP,West,Bangarappa Nagara,14.98,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 91%; holds 20% of its extent; regulator E; nothing on record,E,C1=E(B/E) C3=B(B/C) C4=E C8=A G2=E,High (lifted: cascade),High,Steady,none,,,E,2.65,medium,0.0186,0.9135,0.0655,,,20.0,0.199,0.0311,-0.061,0,0,30273,2,medium,osm_mostly_dry,C1 candidates B/E; C3 candidates B/C
6,gba-bbmp-146,Rachenahalli Lake,Rachenahalli Lake,BBMP,North,Jakkur,37.06,monsoon (Jun-Sep) 2026,6,Fund now,chlorophyll proxy 0.44; regulator E; nothing on record,E,C1=A(A/B) C3=A(A/B) C4=B(A/B/C) C5=E(D/E) C8=A G2=E,High,High,Steady,none,,,E,2.65,low,0.8499,0.1435,0.0622,0.4424,75.0,68.8,0.89,0.0,0.0,0,0,11338,5,medium,,C1 candidates A/B; C3 candidates A/B; C4 candidates A/B/C; C5 candidates D/E
7,gba-bbmp-010,Saul Kere,Sowl kere,BBMP,East,Shivanasamudra Ward,18.19,monsoon (Jun-Sep) 2026,7,Fund now,vegetation 73%; holds 17% of its extent; nothing on record,E,C1=E C3=A(A/B) C4=E C5=C(B/C/D) C8=A,High (lifted: cascade),High,Steady,none,,,,2.65,low,0.1284,0.7258,0.0722,0.1995,70.8,48.1,0.171,0.0007,-0.005,0.14,1,5863,6,medium,,C3 candidates A/B; C5 candidates B/C/D
8,gba-bbmp-131,J.P Park (Mathikere Lake),",ward no 154 J.P Park / Bangalore North",BBMP,North,J.P PARK,4.64,monsoon (Jun-Sep) 2026,6,Fund now,vegetation 84%; holds 2% of its extent; froth 8/yr; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=E C8=D G2=D,Medium (lifted: cascade),High,Rising,none,,,D,2.6,low,0.0162,0.8441,0.0964,,,100.0,0.024,0.0,0.0,8.29,0,9374,2,medium,,C3 candidates A/B
9,gba-bbmp-098,Parappana Agrahara,Parappana Agrahara / Bangalore,BBMP,South,Naganathapura,4.61,monsoon (Jun-Sep) 2026,4,Fund now,vegetation 100%; holds 0% of its extent; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=E C8=A G2=D,Medium (lifted: cascade),High,Rising,none,,,D,2.6,low,0.0,1.0,0.0501,,,100.0,0.0,0.0021,0.002,0.29,7,2174,1,medium,,C3 candidates A/B
10,gba-bbmp-197,Gangondanahalli Lake,Gangondanahalli Lake,BBMP,,,15.6,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 99%; holds 0% of its extent; regulator E; nothing on record,E,C1=E C3=A(A/B) C4=E C8=A G2=E,Medium,High,Steady,none,,,E,2.35,medium,0.0,0.9884,0.0558,,,65.5,0.0,0.0028,0.003,0.14,0,4392,3,medium,osm_mostly_dry,C3 candidates A/B
11,gba-bbmp-166,Dasarahalli (Chokkasandra) Lake,Dasarahalli (Chokkasandra) Lake,BBMP,West,Chokkasandra,5.98,monsoon (Jun-Sep) 2026,6,Fund now,holds 17% of its extent; regulator E; nothing on record,E,C1=E C3=C(C/D) C4=C(B/C/D) C8=B G2=E,Medium,High,Steady,none,,,E,2.35,medium,0.1505,0.2843,0.0915,,,65.5,0.173,0.0815,0.028,0.71,1,4138,1,medium,,C3 candidates C/D; C4 candidates B/C/D
