spine_id,ktcda_key,ktcda_custodian,ktcda_serial,ktcda_name,ktcda_ward,ktcda_constituency,in_bbmp,lms_id,lms_name,lms_lat,lms_lon,lms_zone,osm_id,osm_name,area_ha,match_method,match_score,ward_no,ward_name,corporation,assembly,cascade_position,degree_in,drains_to,duplicate_of,note
gba-bbmp-001,BBMP#1,BBMP,1,Ambalipura Kelagina kere,Ward No.150 Bellandur,Mahadevapura,True,184,Ambalipura Kelagina kere,13.0243365,77.708932,4,232981265,Ambalipura Lower Lake,2.21,manual_override,1.0,119,Kasavanahalli,South,Mahadevapura,2,1,Iblur Lake,,Kelagina (lower) Ambalipura = OSM Ambalipura Lower Lake; the LMS point sits in Bhattarahalli kere (coordinate error)
gba-bbmp-002,BBMP#2,BBMP,2,Gunjur Palya kere,Ward no.149 Varthur,Mahadevapura,True,186,Gunjur Palya kere,12.93306795,77.70768341,4,1088209009,Gunjuru Palya Lake,12.9,name_exact,1.0,235,Gunjur,East,Mahadevapura,3,1,Varthur Lake,,
gba-bbmp-003,BBMP#3,BBMP,3,Gunjuru Karmelaram lake,Ward no.149 Varthur,Mahadevapura,True,188,Gunjuru Karmelaram lake,12.91684385,77.7405091,4,27993527,Carmelaram Lake,2.1,manual_override,1.0,235,Gunjur,East,Mahadevapura,1,0,Gunjuru Palya Lake,,Gunjur Karmelaram = OSM Carmelaram Lake (Gunjur ward); the 20.7 ha Gunjuru Lake is a different body
gba-bbmp-004,BBMP#4,BBMP,4,Panathur lake,Ward no.149 Varthur,Mahadevapura,True,189,Panathur lake-2,12.9317685,77.7069855,4,17062035,Panathuru Kere,4.17,lms_point_in_polygon,1.0,246,Panathur,East,Mahadevapura,4,2,Varthur Lake,,
gba-bbmp-005,BBMP#5,BBMP,5,Varanasi Lake,Ward no.54 Hoodi,Mahadevapura,True,191,Jimkenahalli Lake/ Varanasi Lake,13.0272011,77.6867567,4,44546801,Jimkenahalli Kere,1.91,lms_point_in_polygon,1.0,72,Byrathi,East,Mahadevapura,1,0,Ramapura Kere,,
gba-bbmp-006,BBMP#6,BBMP,6,Amblipura melina kere,Ward No.150 Bellandur,Mahadevapura,True,193,Amblipura melina kere,12.9052905,77.7137513,4,27993889,Ambalipura Upper Lake,3.46,manual_override,1.0,119,Kasavanahalli,South,Mahadevapura,1,0,Ambalipura Lower Lake,,Melina (upper) Ambalipura = OSM Ambalipura Upper Lake; the LMS point sits in Chikkabelanduru Kere (coordinate error)
gba-bbmp-007,BBMP#7,BBMP,7,Kaigondanahalli Lake,Ward No.150 Bellandur,Mahadevapura,True,194,Kaigondanahalli Lake,12.8846067,77.685083,4,6820030,Kaikondrahalli Lake,16.61,manual_override,1.0,119,Kasavanahalli,South,Mahadevapura,5,4,Saul Kere,,"Kaigondanahalli (ward 150 Bellandur) = OSM Kaikondrahalli Lake (16.6 ha; the KSPCB station ""Kaikondanahalli Lake"" sits inside it); the earlier fuzzy match to Kangondanahalli Kere (6.4 ha) was wrong; the LMS point is a coordinate error"
gba-bbmp-008,BBMP#8,BBMP,8,Kasavanahalli lake,Ward No.150 Bellandur,Mahadevapura,True,195,Kasavanahalli lake,12.90427665,77.66790535,4,62381586,Kasavanahalli Lake,13.12,lms_point_in_polygon,1.0,119,Kasavanahalli,South,Mahadevapura,4,6,Kaikondrahalli Lake,,
gba-bbmp-009,BBMP#9,BBMP,9,Haraluru kere,Ward No.150 Bellandur,Mahadevapura,True,197,Haraluru kere,12.89697462,77.66504399,4,111563782,Haralur Lake,7.98,lms_point_nearest,1.0,119,Kasavanahalli,South,Mahadevapura,3,4,Kasavanahalli Lake,,
gba-bbmp-010,BBMP#10,BBMP,10,Sowl kere,Ward No.150 Bellandur,Mahadevapura,True,199,Sowl kere,12.9182153,77.67989115,4,350098022,Saul Kere,16.73,manual_override,1.0,205,Shivanasamudra Ward,East,Mahadevapura,6,4,,,Sowl kere = OSM Saul Kere (spelling)
gba-bbmp-011,BBMP#11,BBMP,11,Devarabeesanahalli Lake,Ward No.150 Bellandur,Mahadevapura,True,200,Devarabeesanahalli Lake,12.91456545,77.63479,4,17083842,Deverabisanahalli Lake,3.71,manual_override,1.0,205,Shivanasamudra Ward,East,Mahadevapura,1,0,,,Spelling: Deverabisanahalli in OSM
gba-bbmp-012,BBMP#12,BBMP,12,Doddakanahalli kere,Ward No.150 Bellandur,Mahadevapura,True,202,Doddakanenahalli kere,12.9128108,77.6908309,4,17083906,Doddakannelli Lake,6.66,lms_point_nearest,0.828,235,Gunjur,East,Mahadevapura,2,1,Saul Kere,,
gba-bbmp-013,BBMP#13,BBMP,13,Munnekolalu kere,Ward No. 85 Doddenekundi,Mahadevapura,True,204,Munnekolalu kere,12.9606603,77.7089091,4,18077306,Munekolala Lake,4.47,lms_point_in_polygon,0.857,100,Priyadarshini Ward,East,Mahadevapura,2,1,Varthur Lake,,
gba-bbmp-014,BBMP#14,BBMP,14,Chinnappanahalli,Ward No. 85 Doddenekundi,Mahadevapura,True,206,Chinnappanahalli lake,12.9662146,77.7049222,4,6183523,Chinnappanahalli Lake,2.27,lms_point_nearest,1.0,100,Priyadarshini Ward,East,Mahadevapura,1,0,Munekolala Lake,,
gba-bbmp-015,BBMP#15,BBMP,15,Shilavanthana kere,Ward no 84 Hagadur,Mahadevapura,True,207,Shilavanthana kere,12.9643932,77.7426379,4,45860708,Sheelavathana Kere,4.49,lms_point_in_polygon,0.846,233,Whitefield,East,Mahadevapura,3,3,Kelavarapalli reservoir,,
gba-bbmp-016,BBMP#16,BBMP,16,Kundalahalli Lake,Ward No. 85 Doddenekundi,Mahadevapura,True,209,Kundalahalli Lake,12.9698526,77.7182155,4,120904870,Kundalahalli Lake,7.53,lms_point_nearest,1.0,229,Kundalahalli,East,Mahadevapura,1,0,Thubarahalli Lake,,
gba-bbmp-017,BBMP#17,BBMP,17,Siddapura Lake,Ward no 84 Hagadur,Mahadevapura,True,208,Siddapura Lake,12.9582271,77.7245904,4,,,,no_polygon,,,,,,,,,,Siddapura Lake (Hagadur ward): no OSM polygon; the LMS point falls in Thubarahalli Lake; OSM Hadosiddapura Lake is on Sarjapur Road
gba-bbmp-018,BBMP#18,BBMP,18,Garudachar Palya Lake,Ward No. 82,Mahadevapura,True,203,Garudachar Palya (Goshala) Lake,12.9869034,77.6976839,4,95639129,Garudacharpalya Lake,1.11,lms_point_nearest,0.968,227,Garudachar Palya,East,Mahadevapura,1,0,Mahadevapura Lake,,
gba-bbmp-019,BBMP#19,BBMP,19,Garudachar Palya (Goshala) Lake,Ward No. 82 GarudacharPalya GarudacharPalya,Mahadevapura,True,203,Garudachar Palya (Goshala) Lake,12.9869034,77.6976839,4,17426666,Goshala Lake,1.28,manual_override,1.0,227,Garudachar Palya,East,Mahadevapura,1,0,Doddanekundi Lake,,Goshala Lake; KTCDA row 18 is the separate Garudacharpalya Lake
gba-bbmp-020,BBMP#20,BBMP,20,Doddanekundi lake,Ward No. 85 Doddenekundi,Mahadevapura,True,201,Doddanekundi lake,12.9747317,77.6861555,4,35324030,Doddanekundi Lake,38.28,lms_point_in_polygon,1.0,237,Dodda Nekkundi,East,Mahadevapura,3,5,,,
gba-bbmp-021,BBMP#21,BBMP,21,Sadaramangala Lake,Ward no - 54 Hoodi,Mahadevapura,True,198,Sadaramangala Lake,13.0001277,77.7255132,4,1455401194,,0.1,lms_point_nearest,1.0,245,Belathur,East,Mahadevapura,,,,,
