spine_id,name,custodian,corporation,need_class,queue_reason,note
gba-bbmp-017,Siddapura Lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Siddapura Lake (Hagadur ward): no OSM polygon; the LMS point falls in Thubarahalli Lake; OSM Hadosiddapura Lake is on Sarjapur Road
gba-bbmp-044,Gangashetty Lake,BBMP,,Unassessed,"no polygon at open resolution; LMS point on record; KSPCB station 'Gangashetty Lake' at 13.00502, 77.693716 (Class E, June 2026)","Gangashetty Lake (K.R. Puram): no OSM polygon named; the LMS point falls in the polygon named Krishnaraja puram kere,  identity unverified"
gba-bbmp-089,Puttenahalli / Byraweshwara,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Puttenahalli / Byraweshwara kere at Konanakunte: no OSM polygon found; 3507925 is the JP Nagar Puttenahalli (row 62)
gba-bbmp-104,Lingadeeranahalli (handrahalli) North Lake Bangalore North,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Lingadeeranahalli (Handrahalli) lake in Doddabidarakallu ward: no OSM polygon; 1344973950 is the Talagattapura Lingadeeranahalli (row 116)
gba-bbmp-110,Chikkabasthi lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Chikkabasthi lake (outside BBMP limits): no OSM polygon; LMS point sits in Konasandra Lake
gba-bbmp-113,Gandhinagar Hosakerehalli,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Gandhinagar Hosakerehalli (Ullala ward): no OSM polygon; LMS point is 12 m from the small Ramasandra polygon
gba-bbmp-117,Varahasandra Lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Varahasandra Lake (Hemmigepura ward): no OSM polygon; the LMS point falls in Somapura Kere
gba-bbmp-120,Gattigerepalya (Sompura) lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Gattigerepalya (Sompura) lake: no separate OSM polygon found; LMS point exists
gba-bbmp-122,Chikkagowdanapalya lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Chikkagowdanapalya lake: no OSM polygon found
gba-bbmp-124,Busegowdana lake,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Busegowdana lake (Hemmigepura ward): no OSM polygon found; LMS point exists
gba-bbmp-125,Bayyapanapalya Kunte,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Bayyapanapalya Kunte: no OSM polygon found
gba-bbmp-151,Narasipura Lake 26,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Narasipura Lake 26: OSM has one Narsipura polygon (row 150); LMS lists two Narasipura lakes
gba-bbmp-174,(Nagasandra),BBMP,,Unassessed,no polygon at open resolution; no location on record,Nagasandra (Doddabidarakallu): no OSM polygon found
gba-bbmp-178,19 Malagala,BBMP,,Unassessed,no polygon at open resolution; no location on record,Malagala (Kaveripura ward): no OSM polygon found
gba-bbmp-180,Byatagunte Playa,BBMP,,Unassessed,no polygon at open resolution; no location on record,Byatagunte Palya: no OSM polygon found
gba-bbmp-181,Lingarajapura Lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Lingarajapura Lake: no OSM polygon found
gba-bbmp-182,Geddalahalli,BBMP,,Unassessed,no polygon at open resolution; no location on record,Geddalahalli: no OSM polygon found
gba-bbmp-183,Konena Agrahara,BBMP,,Unassessed,no polygon at open resolution; LMS point on record,Konena Agrahara (C.V. Raman Nagar): no OSM polygon; the LMS match is Kalena Agrahara in the south
gba-bbmp-184,(Lingannana Bilaekahalli Kere) (Disused lake),BBMP,,Unassessed,no polygon at open resolution; no location on record,Lingannana Bilekahalli kere: listed as disused; no OSM polygon
gba-bbmp-185,Dorasanni Palya (Disused lake),BBMP,,Unassessed,no polygon at open resolution; no location on record,Dorasanipalya: listed as disused; no OSM polygon
gba-bbmp-186,Ittmadu,BBMP,,Unassessed,no polygon at open resolution; no location on record,Ittamadu (Padmanabhanagar): no OSM polygon found
gba-bbmp-188,Thavarekare,BBMP,,Unassessed,no polygon at open resolution; no location on record,Thavarekere (Padmanabhanagar): the OSM Tavarekere polygons are in Tavarekere town to the west
gba-bbmp-189,Karisandra lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Karisandra lake: no OSM polygon found
gba-bbmp-190,Nandi shettappa lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Nandi Shettappa lake: no OSM polygon found
gba-bbmp-191,Arehalli 2 & 3 (Small tanks) (Disused lake),BBMP,,Unassessed,no polygon at open resolution; no location on record,"Arehalli 2 & 3 small tanks (Uttarahalli ward 184, listed as disused): the only OSM Arehalli Lake lies outside the ward layer to the east; no polygon in the ward"
gba-bbmp-192,Bovimaranahalli,BBMP,,Unassessed,no polygon at open resolution; no location on record,Bovimaranahalli: no OSM polygon found
gba-bbmp-193,Gundopanth lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Gundopanth lake: no OSM polygon found
gba-bbmp-194,Kamakshipalya Lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Kamakshipalya Lake: no OSM polygon found
gba-bbmp-195,Sanegoravanahalli Lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Sanegoravanahalli Lake: no OSM polygon found
gba-bbmp-196,Agraharadasarahalli Lake,BBMP,,Unassessed,no polygon at open resolution; no location on record,Agrahara Dasarahalli Lake (Govindarajanagar): no OSM polygon found; the Dasarahalli tanks are a different area
