serial,month,sampling_month,name,name_on_row_line,lat,lon,temp_c,do_mgl,ph,conductivity_umho_cm,bod_mgl,nitrate_n_mgl,nitrite_n_mgl,fecal_coliform_mpn,total_coliform_mpn,carbonate_mgl,bicarbonate_mgl,turbidity_ntu,phenolphthalein_alkalinity_mgl,total_alkalinity_mgl,chlorides_mgl,cod_mgl,tkn_mgl,ammoniacal_n_mgl,total_hardness_mgl,ca_as_caco3_mgl,ca_mgl,mg_as_caco3_mgl,mg_mgl,sulphate_mgl,sodium_mgl,tds_mgl,tss_mgl,phosphate_mgl,boron_mgl,potassium_mgl,fluoride_mgl,sodium_pct,sar,ortho_phosphate_mgl,use_based_class
1,2026-06,Jun-2026,Madiwala Tank,Madiwala Tank,12.908501,77.615365,28,4.8,7.8,466,9,1.8,BDL,700,2800,BDL,120,24.4,BDL,120,92,92,BDL,0.4,80,40,16,40,10,34,48,322,28,BDL,BDL,5,0.3,54,2.3,BDL,D
2,2026-06,Jun-2026,Lalbagh Tank,Lalbagh Tank,12.946154,77.581861,31,6,8.2,522,4,0.84,BDL,470,2800,BDL,128,36.8,BDL,128,68,40,BDL,0.4,88,48,19,40,10,26,69,314,44,BDL,BDL,5,BDL,63,3.3,0.3,D
3,2026-06,Jun-2026,Kempambudhi Tank,Kempambudhi Tank,12.951514,77.560386,31,4.3,6.5,472,6,1.81,BDL,630,3500,BDL,152,18.9,BDL,152,48,84,BDL,0.4,132,76,30,56,14,12,47,314,26,0.31,BDL,5,BDL,42,1.78,0.79,D
4,2026-06,Jun-2026,Yediyur Tank,Yediyur Tank,12.933697,77.577689,31,5.1,6.5,293,5,1.12,BDL,3300,11000,BDL,104,19.5,BDL,104,36,48,BDL,0.5,84,64,26,20,5,BDL,28,196,26,BDL,BDL,3,BDL,41,1.33,0.45,D
5,2026-06,Jun-2026,Sankey Tank,Sankey Tank,13.008775,77.574124,27,4,7.8,572,6,2.2,BDL,340,2400,BDL,132,6,BDL,132,92,62,BDL,0.4,152,88,35,64,16,25,54.5,370,14,BDL,BDL,6,0.34,33,2.5,BDL,D
6,2026-06,Jun-2026,Byrasandra Tank,Byrasandra Tank,12.930292,77.59508,30,4.5,7.3,1286,8,4.5,BDL,700,5400,BDL,168,7.9,BDL,168,264,96,BDL,0.86,216,116,46,100,24,49,132,858,BDL,0.48,BDL,16,0.59,55,4,1.4,D
7,2026-06,Jun-2026,Nayandanahalli Tank,Nayandanahalli Tank,12.939988,77.521078,29.8,5.2,7,830,5,3.2,BDL,70,1600,BDL,196,14,BDL,196,143,48,BDL,0.4,225,120,48,105,26,36,83,564,28,0.24,BDL,6,0.33,36,2.4,0.7,D
8,2026-06,Jun-2026,Hesaraghatta Lake,Hesaraghatta Lake,13.143235,77.486649,30,6.8,7.3,418,5,1.4,BDL,79,1600,BDL,80,5.8,BDL,80,56,52,BDL,0.4,100,56,22,44,11,20,40,286,BDL,BDL,BDL,8,0.22,44,1.74,BDL,D
9,2026-06,Jun-2026,Herohalli Tank,Herohalli Tank,12.989261,77.492374,30,5.2,7.5,1062,7,3.7,BDL,790,2400,BDL,268,7.2,BDL,268,164,68,BDL,0.51,248,132,53,116,28,42,97,706,BDL,0.28,BDL,13,0.3,44,2.7,0.76,D
10,2026-06,Jun-2026,Anchepalya Lake,Anchepalya Lake,13.052523,77.481882,29,4.9,7.4,1075,7,3.9,BDL,390,2800,BDL,264,5.4,BDL,264,168,80,BDL,0.82,256,136,54,120,29,47,99,722,BDL,0.24,BDL,14,0.37,44,2.7,0.69,D
11,2026-06,Jun-2026,Shivapura Tank,Shivapura Tank,13.026112,77.504431,29,4.7,6.5,752,7,2.6,BDL,470,2800,BDL,84,12.5,BDL,84,108,88,BDL,0.72,160,88,35,72,18,77,69,508,16,BDL,BDL,8,0.28,46,2.4,0.32,D
