custodian,serial,ward,constituency_or_taluk,name,in_bbmp
BBMP,1,Ward No.150 Bellandur,Mahadevapura,Ambalipura Kelagina kere,True
BBMP,2,Ward no.149 Varthur,Mahadevapura,Gunjur Palya kere,True
BBMP,3,Ward no.149 Varthur,Mahadevapura,Gunjuru Karmelaram lake,True
BBMP,4,Ward no.149 Varthur,Mahadevapura,Panathur lake,True
BBMP,5,Ward no.54 Hoodi,Mahadevapura,Varanasi Lake,True
BBMP,6,Ward No.150 Bellandur,Mahadevapura,Amblipura melina kere,True
BBMP,7,Ward No.150 Bellandur,Mahadevapura,Kaigondanahalli Lake,True
BBMP,8,Ward No.150 Bellandur,Mahadevapura,Kasavanahalli lake,True
BBMP,9,Ward No.150 Bellandur,Mahadevapura,Haraluru kere,True
BBMP,10,Ward No.150 Bellandur,Mahadevapura,Sowl kere,True
BBMP,11,Ward No.150 Bellandur,Mahadevapura,Devarabeesanahalli Lake,True
BBMP,12,Ward No.150 Bellandur,Mahadevapura,Doddakanahalli kere,True
BBMP,13,Ward No. 85 Doddenekundi,Mahadevapura,Munnekolalu kere,True
BBMP,14,Ward No. 85 Doddenekundi,Mahadevapura,Chinnappanahalli,True
BBMP,15,Ward no 84 Hagadur,Mahadevapura,Shilavanthana kere,True
BBMP,16,Ward No. 85 Doddenekundi,Mahadevapura,Kundalahalli Lake,True
BBMP,17,Ward no 84 Hagadur,Mahadevapura,Siddapura Lake,True
BBMP,18,Ward No. 82,Mahadevapura,Garudachar Palya Lake,True
BBMP,19,Ward No. 82 GarudacharPalya GarudacharPalya,Mahadevapura,Garudachar Palya (Goshala) Lake,True
BBMP,20,Ward No. 85 Doddenekundi,Mahadevapura,Doddanekundi lake,True
BBMP,21,Ward no - 54 Hoodi,Mahadevapura,Sadaramangala Lake,True
BBMP,22,Ward No.150 Bellandur,Mahadevapura,Bhoganahalli Lake,True
BBMP,23,Ward No. 82 GarudacharPalya,Mahadevapura,Hoodi Giddanakere Lake,True
BBMP,24,Ward no.149 Varthur,Mahadevapura,Panathur lake,True
BBMP,25,Ward no.54 Hoodi,Mahadevapura,Hoodi kere,True
BBMP,26,Ward no 84 Hagadur,Mahadevapura,Nalluralli tank,True
BBMP,27,Ward No. 82 GarudacharPalya,Mahadevapura,SitaramPalya lake,True
BBMP,28,Ward no.149 Varthur,Mahadevapura,Chikkabellandur Lake,True
BBMP,29,Ward No. 83 Kadugodi,Mahadevapura,Pattandur agrahara -54 Lake,True
BBMP,30,Ward No. 82 Garudachar Palya,Mahadevapura,Pattandur agrahara lake-124,True
BBMP,31,Ward no 25 Horamavu,Mahadevapura,Rampura kere,True
BBMP,32,Ward no.149 Varthur,Mahadevapura,Gunjur mouji kere,True
BBMP,33,Ward No.150 Bellandur,Mahadevapura,Junnasandra lake,True
BBMP,34,Ward No.53 Basavanapura,KR Puram,Chikkabasavanapura Lake,True
BBMP,35,Ward No. 81 Vignana nagara,KR Puram,Mahadevapura Lake-1,True
BBMP,36,Ward No.53 Basavanapura,KR Puram,Sigehalli Lake,True
BBMP,37,Ward No.55 Devasandra,KR Puram,Devsandra kere,True
BBMP,38,Ward no 25 Horamavu,KR Puram,Challakere Lake,True
BBMP,39,Ward No.26 Ramamurthy Nagara,KR Puram,Kalkere Lake,True
BBMP,40,Ward No. 81 Vignana nagara,KR Puram,Vibhuthipura kere,True
BBMP,41,Ward No.51 Vijanapura,KR Puram,K R Puram (BEML)/ Benniganahalli Lake,True
BBMP,42,Ward no 25 Horamavu,KR Puram,Hormavu Agara Lake,True
BBMP,43,Ward no 25 Horamavu,KR Puram,Nagareshwara-Nagenahalli Lake,True
BBMP,44,Ward no 52 K R Puram,KR Puram,Gangashetty Lake,True
BBMP,45,Ward no 25 Horamavu,KR Puram,Horamavu Lake,True
BBMP,46,Ward no 52 K R Puram,KR Puram,Vengaiahna kere /K.R.Puram Tank,True
BBMP,47,Ward No. 81 Vignana nagara,KR Puram,Mahadevapura Lake-2,True
BBMP,48,Ward No. 56 A Narayanapura,KR Puram,B. Narayanapura Lake,True
BBMP,49,Ward No.53 Basavanapura,KR Puram,Bhattarahalli Lake,True
BBMP,50,Ward no 26 Ramamurthy Nagara,KR Puram,Kowdenahalli lake,True
BBMP,51,Ward No.51 Vijanapura,KR Puram,Vijanapura Lake,True
BBMP,52,Halasur ward (90),162-Shivajinagar,Ulsoor / Bangalore North,True
BBMP,53,C.V.Raman Nagar(57),161-C.V.Raman Nagara,Kelagina Byrasandra,True
BBMP,54,C.V.Raman Nagar(57),161-C.V.Raman Nagara,Melina Byrasandra (DRDO),True
BBMP,55,C.V.Raman Nagar(57),161-C.V.Raman Nagara,Kaggadasapura,True
BBMP,56,Kacharakanahalli(29),160- Sarvagna Nagara,Kacharakanahalli,True
BBMP,57,Channasandra,160- Sarvagna Nagara,Channasandra,True
BBMP,58,B. Channasandra,160- Sarvagna Nagara,B. Channasandra,True
BBMP,59,Ward No: 174 HSR Layout,Bommanahalli,Ibblur Lake,True
BBMP,60,Ward No: 174 HSR Layout,Bommanahalli,Venkojirao Kere / Agara Kere,True
BBMP,61,Ward No: 186 Jaraganahalli,Bommanahalli,Sarakki Lake,True
BBMP,62,Ward No 187: Puttenahalli,Bommanahalli,Puttenahalli Lake (Next to Brigade Millenium),True
BBMP,63,Ward No: 190 Mangammanapalya,Bommanahalli,Mangammana Palya Kere,True
BBMP,64,Ward No: 190 Mangammanapalya,Bommanahalli,Haralakunte Lake (Somasandra Palya Kere),True
BBMP,65,Ward No: 190 Mangammanapalya,Bommanahalli,Garveybhavipalya Lake,True
BBMP,66,Ward No: 193 Arekere,Bommanahalli,Hulimavu Lake,True
BBMP,67,Ward No: 193 Arekere,Bommanahalli,Arakere Lake,True
BBMP,68,Ward No: 184 Uttarahalli,Bengaluru South,Uttarahalli Lake / Bangalore South,True
BBMP,69,Ward No: 184 Uttarahalli,Bengaluru South,Subramanyapura Lake,True
BBMP,70,Ward No: 184 Uttarahalli,Bengaluru South,Gubbalalu Lake,True
BBMP,71,"Uttarahalli, Ward No: 184 Ward No: 197",Bengaluru South,Dorekere,True
BBMP,72,Ward No: 185 Vassanthpura Yalachenahalli,Bengaluru South,Annappanakere / Yelchenahalli Lake,True
BBMP,73,Ward No: 193 Arekere,Bengaluru South,Nyanappanahalli Lake / Akshayanagara Lake,True
BBMP,74,Ward No: 192 Begur,Bengaluru South,Kalena Agrahara Lake,True
BBMP,75,Ward No: 192 Begur,Bengaluru South,Begur Lake,True
BBMP,76,Ward No: 192 Begur,Bengaluru South,Basapura Lake-1,True
BBMP,77,Ward No: 192 Begur,Bengaluru South,Basapura Lake-2 / Bangalore South,True
BBMP,78,Ward No: 192 Begur,Bengaluru South,Basavanapura Lake,True
BBMP,79,Ward No: 192 Begur,Bengaluru South,Chikka Begur Lake,True
BBMP,80,Ward No: 192 Begur,Bengaluru South,Kammanahalli Lake (Meenakshi Lake),True
BBMP,81,Ward No: 192 Begur,Bengaluru South,Yelenahalli Lake,True
BBMP,82,Ward No: 192 Begur,Bengaluru South,Beretena Agrahara (Chowdeshwari Lake),True
BBMP,83,Ward No: 192 Begur,Bengaluru South,Subedarana Kere,True
BBMP,84,Ward No: 192,Bengaluru South,Chikkammanahalli Lake,True
BBMP,85,Ward No: 192 Begur,Bengaluru South,Swarnakunte Gudda Kere,True
BBMP,86,Ward No: 194 Begur,Bengaluru South,Gottigere,True
BBMP,87,Ward No: 194 Gottigere,Bengaluru South,Kothanuru Lake,True
BBMP,88,Ward No: 194 Gottigere Gottigere,Bengaluru South,Subbarayana Lake,True
BBMP,89,Ward No: 195 Konanakunte,Bengaluru South,Puttenahalli / Byraweshwara,True
BBMP,90,Ward No: 196 Anjanapura,Bengaluru South,Anjanapura Lake / nagara Chunchaghatta Kere Alahalli,True
BBMP,91,Ward No: 196,Bengaluru South,Kembathahalli Lake,True
BBMP,92,Ward No: 197 Anjanapura Vasanthapura,Bengaluru South,Vasanthapura Kere / Janardhana Kere,True
BBMP,93,Ward No: 197,Bengaluru South,Devarakere,True
BBMP,94,Ward No: 197 Vasanthapura,Bengaluru South,Doddakallasandra Lake,True
BBMP,95,Ward No: 197 Vasanthapura,Bengaluru South,Konanakunte Lake,True
BBMP,96,Ward No: 197 Vasanthapura Vasanthapura,Bengaluru South,Kalyanikunte (Near Saibaba Temple),True
BBMP,97,Ward No: 191,Bengaluru South,Kodige Singasandra Lake,True
BBMP,98,Ward No: 191 Singasandra,Bengaluru South,Parappana Agrahara / Bangalore,True
BBMP,99,Ward No: 191 Singasandra Singasandra,Bengaluru South,Singasandra Lake South Bangalore South,True
BBMP,100,Ward No: 191,Bengaluru South,Konappana Agrahara Lake,True
BBMP,101,Ward No: 191 Singasandra,Bengaluru South,Kudlu Anekal & Doddakere / Anekal Taluk,True
BBMP,102,Ward No: 191 Singasandra Singasandra,Anekal,Kudlu Chikka Kere / and Bengaluru South Taluk Anekal Taluk,True
BBMP,103,"Doddabedakallu,ward no.40",153-Yeshwanthpura,Handrahalli kere Bangalore North,True
BBMP,104,"Doddabedakallu,ward no.40",153-Yeshwanthpura,Lingadeeranahalli (handrahalli) North Lake Bangalore North,True
BBMP,105,Herohalli-72,153- Yashwanthpura,Herohalli Lake Bangalore North,True
BBMP,106,Herohalli-72,153- Yashwanthpura,Vishwaneedam Lake Bangalore North,True
BBMP,107,Ullala Ward No.130,153- Yashwanthpura,Mallathahalli lake,True
BBMP,108,Gnana Bharathi-129 & Ullala -130,153- Yashwanthpura,Ullala lake,True
BBMP,109,Gnana Bharathi-129 & Ullala -130,153- Yashwanthpura,Dubasipalya lake (Valagerehalli),True
BBMP,110,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Chikkabasthi lake,False
BBMP,111,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Mangammanahalli lake,False
BBMP,112,"Hemmigepura, ward no-198",153-Yeshwanthpura,Kengeri Lake,True
BBMP,113,Ullala -130,153- Yashwanthpura,Gandhinagar Hosakerehalli,True
BBMP,114,"Hemmigepura,ward no-198",153-Yeshwanthpura,H Gollahalli kere/ Bangalore South,True
BBMP,115,"Hemmigepura,ward no-198",153-Yeshwanthpura,Jogi kere / Bangalore South,True
BBMP,116,"Hemmigepura, ward no-198",153-Yeshwanthpura,Lingadeeranahalli,True
BBMP,117,"Hemmigepura, ward no-198",153-Yeshwanthpura,Varahasandra Lake,True
BBMP,118,"Hemmigepura, ward no-198",153-Yeshwanthpura,Konasandra Lake,True
BBMP,119,"Hemmigepura, ward no-198",153-Yeshwanthpura,Sompura Lake,True
BBMP,120,"Hemmigepura, ward no-198",153-Yeshwanthpura,Gattigerepalya (Sompura) lake,True
BBMP,121,"Hemmigepura, ward no-198",153-Yeshwanthpura,Talghatapura Lake,True
BBMP,122,"Hemmigepura, ward no-198",153-Yeshwanthpura,Chikkagowdanapalya lake,True
BBMP,123,"Hemmigepura, ward no-198",153-Yeshwanthpura,Mylasandra (Sunnakallu palya) lake,True
BBMP,124,"Hemmigepura, ward no-198",153-Yeshwanthpura,Busegowdana lake,True
BBMP,125,"Hemmigepura, ward no-198",153-Yeshwanthpura,Bayyapanapalya Kunte/ Bangalore South,True
BBMP,126,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Kodigehalli lake / Bangalore North,False
BBMP,127,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Kenchanpura lake,False
BBMP,128,Panchayath Limit (Out of BBMP),153-Yeshwanthpura,Kanna halli lake,False
BBMP,129,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Soolikere,False
BBMP,130,Panchayath Limit (Out of BBMP),153- Yashwanthpura,Bhimana kuppe,False
BBMP,131,J.P park ward no 17,RajaRajeshwari Nagar,",ward no 154 J.P Park / Bangalore North",True
BBMP,132,"RajaRajeshwari Nagar,ward",154 Rajarajeshwarinagara,Srigandadkaval,True
BBMP,133,no 160,154 Rajarajeshwarinagara,Nagarabhavi Lake,True
BBMP,134,"RajaRajeshwari Nagar,ward",154 Rajarajeshwarinagara,Bheemana Katte,True
BBMP,135,"RajaRajeshwari Nagar,ward no 160 no 160",154 Rajarajeshwarinagara,Pattangere/Kenchenahalli lake,True
BBMP,136,"RajaRajeshwari Nagar,ward no 160",154 Rajarajeshwarinagara,Halage vaderahalli Lake,True
BBMP,137,"RajaRajeshwari Nagar,ward no 160",154 Rajarajeshwarinagara,Hoskerehalli Lake,True
BBMP,138,3. Attur,Yalahanka,Chikka Bettahalli Lake,True
BBMP,139,3. Attur,Yalahanka,Veerasagara lake,True
BBMP,140,2. Chowdeshwari,Yalahanka,Harohalli lake,True
BBMP,141,1. Kempegowda,Yalahanka,Yelahanka Amani kere,True
BBMP,142,3. Attur,Yalahanka,Attur lake,True
BBMP,143,4. Yalahanaka Satellite Town,Yalahanka,Allalasandra lake,True
BBMP,144,1. Kempegowda,Yalahanka,Srinivasapura Lake,True
BBMP,145,4. Yalahanaka Satellite Town,Yalahanka,Shivanahalli Lake,True
BBMP,146,5. jakkur,Byatarayanapura,Rachenahalli Lake,True
BBMP,147,7. Byatarayanpura,Byatarayanapura,Amruthahalli Lake,True
BBMP,148,10. Doddabommasandra,Byatarayanapura,Doddabommasandra Lake,True
BBMP,149,11. Kuvempu Nagar,Byatarayanapura,Singapura Lake,True
BBMP,150,9. Vidyaranyapura,Byatarayanapura,Narasipura Lake 20,True
BBMP,151,9. Vidyaranyapura,Byatarayanapura,Narasipura Lake 26,True
BBMP,152,5. jakkur,Byatarayanapura,Kogilu Lake,True
BBMP,153,5. jakkur,Byatarayanapura,Palanahalli Lake,True
BBMP,154,5. jakkur,Byatarayanapura,Kattigenahalli Lake,True
BBMP,155,5. jakkur,Byatarayanapura,Jakkur Lake,True
BBMP,156,5. jakkur,Byatarayanapura,Agrahara Lake,True
BBMP,157,5. jakkur,Byatarayanapura,Thirumenahalli Lake,True
BBMP,158,5. jakkur,Byatarayanapura,Chokkanahalli Lake,True
BBMP,159,5. jakkur,Byatarayanapura,Venkateshapura Lake,True
BBMP,160,Hanumanthanagar,Basavanagudi,Kempambudhi Lake,True
BBMP,161,Yediyur,Padmanabanagar,Yediyur Lake,True
BBMP,162,Attiguppe,Vijayanagara,Deepanjali Nagara lake,True
BBMP,163,Padmanabanagar,Padmanabanagar,Gowdanapalya Lake,True
BBMP,164,Byrasandra,Chikkapete,Byrasandra,True
BBMP,165,Koramangala,BTM Layout,Mestripalya Lake,True
BBMP,166,Chokkasandra-39,Dasarahalli,Dasarahalli (Chokkasandra) Lake,True
BBMP,167,Peenya Industrial Area-41,Dasarahalli,Nelagedaranahalli Lake,True
BBMP,168,Peenya Industrial Area-41,Dasarahalli,Shivapura Lake,True
BBMP,169,Bagalagunte-14,Dasarahalli,Bagalagunte Lake,True
BBMP,170,Shettihalli-12,Dasarahalli,Kammagondanahalli Lake,True
BBMP,171,Mallasandra-13,Dasarahalli,Mallasandra gudde Lake,True
BBMP,172,Shettihalli-12,Dasarahalli,Abbigere Lake,True
BBMP,173,Shettihalli-12,Dasarahalli,Lakshmipura Lake,True
BBMP,174,Doddabidarakallu-40,Doddabidarakallu Yeshwanthapur,(Nagasandra),True
BBMP,175,Peenya Industrial Area-41,Yeshwanthapur,Karihobanahalli Lake (Narasappanakere) Lake,True
BBMP,176,Aramanenagara-35,Malleshwaram,Sankey Lake,True
BBMP,177,Nayandanahalli-131,Govindarajanagara,Nayandanahalli Lake,True
BBMP,178,Kaveripura-103,Govindarajanagara,19 Malagala,True
