lake_name_as_printed,spine_id,programme,amount_cr,work,source,source_date,source_class,note
Kalkere,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),10,desilting,"Deccan Herald ""BBMP allocates Rs 50 crore to develop 24 lakes; Kalkere gets highest funding""",2025-07-17,press,highest allocation; lake developed about five years earlier
Kacharakanahalli,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),3.5,desilting; fencing; earthwork,Deccan Herald 2025-07-17,2025-07-17,press,
Siddapura,gba-bbmp-017,BBMP budget 2025-26 (24 lakes; Rs 50 cr),1.75,catchment drains; inlet; waste weir with sluice gate,Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone (Hagadur ward); prone to overflowing
Doddabidarakallu,not-on-custody-list,BBMP budget 2025-26 (24 lakes; Rs 50 cr),3,pathways; sewage diversion; culvert,Deccan Herald 2025-07-17,2025-07-17,press,
Deepanjali,not-on-custody-list,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed (Rs 75 lakh to 3.5 cr range stated for the list)
Chokkanahalli,gba-bbmp-158,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Jakkur,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Singapura,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Nelagadarenahalli,gba-bbmp-167,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Shivapura,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Abbigere,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,general works,Deccan Herald 2025-07-17,2025-07-17,press,amount not printed
Seegehalli,gba-bbmp-036,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Gunjur Palya,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Panathur,gba-bbmp-004,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone; KTCDA lists two Panathur rows
Doddanekundi,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Munnekolala,gba-bbmp-013,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Upper Ambalipura,gba-bbmp-006,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Lower Ambalipura,gba-bbmp-001,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Mahadevapura zone
Kengeri,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,RR Nagar zone
Ullal,gba-bbmp-108,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,RR Nagar zone
Dubasipalya,gba-bbmp-109,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,RR Nagar zone
Kenchanapura,gba-bbmp-127,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,RR Nagar zone
Dorekere,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Bommanahalli zone
Mangammanapalya,gba-bbmp-063,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Bommanahalli zone
Gottigere,,BBMP budget 2025-26 (24 lakes; Rs 50 cr),,grant (work not printed),Deccan Herald 2025-07-17,2025-07-17,press,Bommanahalli zone
Hebbal,gba-forest-003,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,"SANDRP ""Bengaluru Lakes 2025"" 2026-02-10 citing press",2026-02-10,compilation,also Rs 20 cr in the BBMP lakes department Rs 75 cr allocation (SANDRP)
Nagawara,gba-forest-004,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,also Rs 20 cr in the BBMP lakes department Rs 75 cr allocation (SANDRP)
Sompura,gba-bbmp-119,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,also Rs 6 cr in the BBMP lakes department allocation (SANDRP); which Sompura is not stated
Chikkabellandur,,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,also Rs 10 cr in the BBMP lakes department allocation (SANDRP)
Arekere,gba-bbmp-067,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,also Rs 2.5 cr in the BBMP lakes department allocation (SANDRP)
Halsur,gba-bbmp-052,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,Ulsoor; also Rs 4 cr in the BBMP lakes department allocation (SANDRP)
Kalkere,,NDMF grant 2025 (7 lakes; Rs 65 cr),,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,also Rs 2.5 cr in the BBMP lakes department allocation (SANDRP)
Chikkabegur,gba-bbmp-079,BBMP lakes department allocation 2025-26 (Rs 75 cr),10,rejuvenation,SANDRP 2026-02-10,2026-02-10,compilation,
Kacharakanahalli,,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Hulimavu,,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Doddabidarakallu,not-on-custody-list,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Gunjur Mouji,gba-bbmp-032,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Carmalaram,gba-bbmp-003,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Hoodi Giddanakere,,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
Vengaiahnakere,gba-bbmp-046,works approaching completion by Nov 2025 (7 lakes; 240 acres),,rejuvenation works,SANDRP 2026-02-10,2026-02-10,compilation,
