ktcda_key,osm_id,duplicate_of,no_polygon,digitised_key,note
BBMP#1,232981265,,,,Kelagina (lower) Ambalipura = OSM Ambalipura Lower Lake; the LMS point sits in Bhattarahalli kere (coordinate error)
BBMP#3,27993527,,,,Gunjur Karmelaram = OSM Carmelaram Lake (Gunjur ward); the 20.7 ha Gunjuru Lake is a different body
BBMP#11,17083842,,,,Spelling: Deverabisanahalli in OSM
BBMP#19,17426666,,,,Goshala Lake; KTCDA row 18 is the separate Garudacharpalya Lake
BBMP#24,18077305,,,,KTCDA lists Panathur twice; LMS has Panathur lake-2 next to Panathur Chikka Kere; unverified which of the two rows is which
BBMP#30,866148184,,,,Pattandur Agrahara Lake; the Kunte (122129754) is the other Pattandur row
BBMP#47,143369798,,,,Mahadevapura Lake-2 assumed = OSM Bande Mahadevapura kere (0.8 ha); unverified
BBMP#52,1857615,,,,Ulsoor = OSM Halasuru lake
BBMP#53,17223075,,,,Kelagina (lower) Byrasandra; C.V. Raman Nagar
BBMP#54,172938152,,,,Melina (upper) Byrasandra = OSM Byrasandra Melina Kere; inside DRDO campus
BBMP#57,1395880731,,,,Two Channasandra lakes in OSM; row 58 (B. Channasandra) holds 232880644; assignment between the two unverified
BBMP#67,19509700,,,,Arekere lake; Bommanahalli
BBMP#77,111871728,,,,Basapura Lake-2 = the second OSM Basapura polygon (2.6 ha); row 76 holds the 2.2 ha one
BBMP#89,,,1,,Puttenahalli / Byraweshwara kere at Konanakunte: no OSM polygon found; 3507925 is the JP Nagar Puttenahalli (row 62)
BBMP#90,118415657,,,,"Anjanapura Lake assumed = OSM Avalahalli Lake (Kothanur ward; the KTCDA name carries ""Alahalli""); the LMS point sits inside it; unverified"
BBMP#101,133729401,,,,Kudlu Doddakere assumed = OSM Hosakere in Kudlu ward (12.9 ha); unverified
BBMP#102,,,1,,Kudlu Chikka Kere: no OSM polygon found
BBMP#104,,,1,,Lingadeeranahalli (Handrahalli) lake in Doddabidarakallu ward: no OSM polygon; 1344973950 is the Talagattapura Lingadeeranahalli (row 116)
BBMP#110,,,1,,Chikkabasthi lake (outside BBMP limits): no OSM polygon; LMS point sits in Konasandra Lake
BBMP#113,,,1,,Gandhinagar Hosakerehalli (Ullala ward): no OSM polygon; LMS point is 12 m from the small Ramasandra polygon
BBMP#116,1344973950,,,,Lingadeeranahalli Lake; Talagattapura ward; Hemmigepura area
BBMP#119,231286369,,,,Sompura Lake (Hemmigepura ward) = OSM Sompura Govt.lake (7.4 ha; Talagattapura ward); the 8.7 ha OSM Sompura Lake at 77.77 E is a different Sompura in the east
BBMP#120,,,1,,Gattigerepalya (Sompura) lake: no separate OSM polygon found; LMS point exists
BBMP#124,,,1,,Busegowdana lake (Hemmigepura ward): no OSM polygon found; LMS point exists
BBMP#6,27993889,,,,Melina (upper) Ambalipura = OSM Ambalipura Upper Lake; the LMS point sits in Chikkabelanduru Kere (coordinate error)
BBMP#10,350098022,,,,Sowl kere = OSM Saul Kere (spelling)
BBMP#63,18077304,,,,Mangammanapalya kere assumed = OSM ITI Layout Lake (adjacent locality); unverified
BBMP#93,37351648,,,,Devarakere = OSM ISRO Layout Lake (Devarakere lies in ISRO Layout)
BBMP#96,117076682,,,,Kalyanikunte = OSM Vasantapura Temple Kalyani (0.4 ha temple tank)
BBMP#106,146211757,,,,Vishwaneedam lake assumed = OSM Herohalli Thotadakere (LMS point inside); unverified
BBMP#131,3816212,,,,J.P. Park lake = OSM Mathikere Lake
BBMP#17,,,1,,Siddapura Lake (Hagadur ward): no OSM polygon; the LMS point falls in Thubarahalli Lake; OSM Hadosiddapura Lake is on Sarjapur Road
BBMP#44,,,1,,"Gangashetty Lake (K.R. Puram): no OSM polygon named; the LMS point falls in the polygon named Krishnaraja puram kere,  identity unverified"
BBMP#97,,,1,,Kodige Singasandra Lake: no OSM polygon; the LMS point falls in Begur Kere
BBMP#117,,,1,,Varahasandra Lake (Hemmigepura ward): no OSM polygon; the LMS point falls in Somapura Kere
BBMP#125,,,1,,Bayyapanapalya Kunte: no OSM polygon found
BBMP#85,1199400889,,,,Swarnakunte Gudda Kere assumed = OSM Chandrasekhar Layout Lake (LMS point inside; Yelenahalli ward); unverified
BBMP#87,118415616,,,,Kothanur Lake assumed = OSM Krishna Nagara Lake (nearest to the LMS point; Harinagar ward); unverified
BBMP#122,,,1,,Chikkagowdanapalya lake: no OSM polygon found
BBMP#128,146447556,,,,Kannalli kere (outside BBMP limits)
BBMP#130,253596652,,,,Bhimanakuppe = OSM Bheemanakuppa Lake (32.9 ha; outside the ward layer); 295768621 Bheemanakatte is a different body
BBMP#145,,,,gba-bbmp-145,"Shivanahalli (Yelahanka Satellite Town): no OSM polygon; hand-digitised from the Sentinel-2 observed water at the 5% occurrence rule (0.44 ha, the largest of 29 fragments; 1.75 ha connects only at 3% occurrence); boundary Low"
BBMP#151,,,1,,Narasipura Lake 26: OSM has one Narsipura polygon (row 150); LMS lists two Narasipura lakes
BBMP#153,904374443,,,,Palanahalli Lake (Kogilu ward); the Kattigenahalli row's LMS point falls inside this polygon by coordinate error
BBMP#167,675669761,,,,Nelagedaranahalli = OSM Nelagadiranahalli Hosakere (Shivapura ward)
BBMP#174,,,1,,Nagasandra (Doddabidarakallu): no OSM polygon found
BBMP#178,,,1,,Malagala (Kaveripura ward): no OSM polygon found
BBMP#179,,BBMP#51,,,Same lake as row 51 (Vijanapura); same LMS id
BBMP#180,,,1,,Byatagunte Palya: no OSM polygon found
BBMP#181,,,1,,Lingarajapura Lake: no OSM polygon found
BBMP#182,,,1,,Geddalahalli: no OSM polygon found
BBMP#183,,,1,,Konena Agrahara (C.V. Raman Nagar): no OSM polygon; the LMS match is Kalena Agrahara in the south
BBMP#184,,,1,,Lingannana Bilekahalli kere: listed as disused; no OSM polygon
BBMP#185,,,1,,Dorasanipalya: listed as disused; no OSM polygon
BBMP#186,,,1,,Ittamadu (Padmanabhanagar): no OSM polygon found
BBMP#188,,,1,,Thavarekere (Padmanabhanagar): the OSM Tavarekere polygons are in Tavarekere town to the west
BBMP#189,,,1,,Karisandra lake: no OSM polygon found
BBMP#190,,,1,,Nandi Shettappa lake: no OSM polygon found
BBMP#192,,,1,,Bovimaranahalli: no OSM polygon found
BBMP#193,,,1,,Gundopanth lake: no OSM polygon found
BBMP#194,,,1,,Kamakshipalya Lake: no OSM polygon found
BBMP#195,,,1,,Sanegoravanahalli Lake: no OSM polygon found
BBMP#196,,,1,,Agrahara Dasarahalli Lake (Govindarajanagar): no OSM polygon found; the Dasarahalli tanks are a different area
BBMP#23,135051892,,,,Hoodi Giddanakere assumed = the second OSM Hoodi Lake polygon (3.4 ha; Hoodi ward); row 25 holds the 8.9 ha one; unverified
BBMP#199,1204457738,,,,Avalahalli (Bangalore North Additional) = OSM Avalahalli Kere at 13.14 N; the southern Avalahalli Lake belongs to the Anjanapura row
BBMP#33,,,,gba-bbmp-033,"Junnasandra: no OSM polygon; hand-digitised from the Sentinel-2 observed water at the 5% occurrence rule (0.70 ha, the largest of 92 fragments within 300 m of the LMS point; an 11.8 ha area connects only at 3% occurrence, so the wider bed is wet under 5% of clear observations); boundary Low"
BBMP#40,,,1,,Vibhuthipura kere: no OSM polygon found; LMS point exists
Forest Department#2,15989750,,,,"Puttenahalli Lake in Yelahanka (Bengaluru North taluk),  not the JP Nagar one"
BBMP#154,43990804,,,,Kattigenahalli Lake (Kogilu ward); the LMS point for this row falls inside the neighbouring Palanahalli polygon
BDA#3,675685126,,,,"Only OSM polygon named Ramasandra Lake is 2.0 ha near Kengeri; BDA's Ramasandra is reported much larger,  so the boundary is unverified. Sentinel-2 2017-2026 shows 1.4 ha of water at this polygon and every water body over 2 ha within 2.5 km is an already-mapped OSM lake (Sulikere,  Kommagatta,  Ullal,  Kannalli),  so no larger unmapped lake exists here; the footprint stays at the observed 2 ha with Low boundary confidence"
BBMP#7,6820030,,,,"Kaigondanahalli (ward 150 Bellandur) = OSM Kaikondrahalli Lake (16.6 ha; the KSPCB station ""Kaikondanahalli Lake"" sits inside it); the earlier fuzzy match to Kangondanahalli Kere (6.4 ha) was wrong; the LMS point is a coordinate error"
BBMP#40,8250847,,,,"Vibhuthipura kere (ward 81 Vignana Nagar) assumed = OSM Lal Bahadur Shastri Nagar Lake (11.2 ha): the KSPCB station ""Vibhuthipura Lake"" sits inside it in the same ward; the LMS point at 13.07 N 77.47 E is a coordinate error; unverified"
BBMP#97,111871740,,,,"Kodige Singasandra assumed = the OSM polygon named Begur Kere (2.9 ha): both the LMS point and the KSPCB station ""Kodi Singasandra Lake"" fall inside it; unverified"
BBMP#102,18077303,,,,"Kudlu Chikka Kere assumed = the OSM polygon named Haraluru Lake (3.2 ha) at Kudlu: the LMS point and the KSPCB station ""Kudlu Chikkakere,  BGP Layout"" both sit at it; the 8 ha Haralur Lake is row 9; unverified"
