spine_id,ktcda_key,ktcda_name,lms_name,lms_lat,lms_lon,water_uncovered_ha,water_covered_by_osm_ha,nearest_osm,nearest_osm_m,note
gba-bbmp-017,BBMP#17,Siddapura Lake,Siddapura Lake,12.9582271,77.7245904,0.7,6.39,14671536:Thubarahalli Lake (7.04 ha),0,Siddapura Lake (Hagadur ward): no OSM polygon; the LMS point falls in Thubarahalli Lake; OSM Hadosiddapura Lake is on Sarjapur Road
gba-bbmp-033,BBMP#33,Junnasandra lake,Junnasandra lake,12.9011233,77.6759405,6.04,0.0,781696180: (2.39 ha),586,Junnasandra lake: no OSM polygon found; LMS point exists
gba-bbmp-040,BBMP#40,Vibhuthipura kere,Vibhuthipura kere,13.0696506,77.47431665,0.14,0.0,1329403181:Venkatappana Kere (1.78 ha),450,Vibhuthipura kere: no OSM polygon found; LMS point exists
gba-bbmp-044,BBMP#44,Gangashetty Lake,Gangashetty Lake,13.00513957,77.69296543,0.37,2.86,9431132:Krishnaraja puram kere (3.96 ha),0,Gangashetty Lake (K.R. Puram): no OSM polygon named; the LMS point falls in the polygon named Krishnaraja puram kere
gba-bbmp-089,BBMP#89,Puttenahalli / Byraweshwara,Puttenahalli Lake (Bommanahalli),12.890222,77.587639,2.3,2.74,3507925:Puttenhalli Lake (3.42 ha),0,Puttenahalli / Byraweshwara kere at Konanakunte: no OSM polygon found; 3507925 is the JP Nagar Puttenahalli (row 62)
gba-bbmp-097,BBMP#97,Kodige Singasandra Lake,Kodige Singasandra Lake,12.877806,77.641861,0.92,2.51,111871740:Begur Kere (2.89 ha),0,Kodige Singasandra Lake: no OSM polygon; the LMS point falls in Begur Kere
gba-bbmp-102,BBMP#102,Kudlu Chikka Kere / and Bengaluru South Taluk Anekal Taluk,Kudlu Chikka Kere STP,12.891778,77.655222,1.72,3.0,18077303:Haraluru Lake (3.24 ha),0,Kudlu Chikka Kere: no OSM polygon found
gba-bbmp-104,BBMP#104,Lingadeeranahalli (handrahalli) North Lake Bangalore North,Lingadeeranahalli-13 Lake,12.87214,77.51403,0.04,0.11,1344973950:Lingadeeranahalli Lake (1.76 ha),0,Lingadeeranahalli (Handrahalli) lake in Doddabidarakallu ward: no OSM polygon; 1344973950 is the Talagattapura Lingadeeranahalli (row 116)
gba-bbmp-110,BBMP#110,Chikkabasthi lake,Chikkabasthi lake,12.89233,77.48361,0.03,7.95,172671192:Konasandra Lake (10.57 ha),0,Chikkabasthi lake (outside BBMP limits): no OSM polygon; LMS point sits in Konasandra Lake
gba-bbmp-113,BBMP#113,Gandhinagar Hosakerehalli,Gandhinagar Hosakere,12.94600,77.47100,0.18,1.4,675685126:Ramasandra Lake (2.03 ha),11,Gandhinagar Hosakerehalli (Ullala ward): no OSM polygon; LMS point is 12 m from the small Ramasandra polygon
gba-bbmp-117,BBMP#117,Varahasandra Lake,Varahasandra Lake,12.88053,77.49142,0.01,3.04,1143880775:Somapura Kere (3.77 ha),0,Varahasandra Lake (Hemmigepura ward): no OSM polygon; the LMS point falls in Somapura Kere
gba-bbmp-120,BBMP#120,Gattigerepalya (Sompura) lake,Gattigerepalya (Sompura) lake,12.88311,77.50214,0.11,0.0,1344974015: (0.81 ha),575,Gattigerepalya (Sompura) lake: no separate OSM polygon found; LMS point exists
gba-bbmp-122,BBMP#122,Chikkagowdanapalya lake,Chikkagowdanapaly lake,12.87214,77.51403,0.04,0.11,1344973950:Lingadeeranahalli Lake (1.76 ha),0,Chikkagowdanapalya lake: no OSM polygon found
gba-bbmp-124,BBMP#124,Busegowdana lake,Busegowdana lake,12.96400,77.45800,0.0,0.9,146447556:Kannalli kere (22.25 ha),49,Busegowdana lake (Hemmigepura ward): no OSM polygon found; LMS point exists
gba-bbmp-125,BBMP#125,Bayyapanapalya Kunte/ Bangalore South,Bayyapanapalya Kunte Lake,12.86800,77.54300,0.69,0.25,1127833851:Vajarahalli Govt.Katte (0.53 ha),57,Bayyapanapalya Kunte: no OSM polygon found
gba-bbmp-145,BBMP#145,Shivanahalli Lake,Shivanahalli Lake,13.091417,77.595611,1.54,0.0,41206188:Allalasandra Lake (14.32 ha),505,Shivanahalli Lake (Yelahanka Satellite Town): no OSM polygon found
gba-bbmp-151,BBMP#151,Narasipura Lake 26,Narasipura Lake-1 (survey no.20),13.072694,77.558194,2.08,4.08,16075392:Narsipura Lake (3.66 ha),11,Narasipura Lake 26: OSM has one Narsipura polygon (row 150); LMS lists two Narasipura lakes
gba-bbmp-174,BBMP#174,(Nagasandra),,,,,,,,Nagasandra (Doddabidarakallu): no OSM polygon found
gba-bbmp-178,BBMP#178,19 Malagala,,,,,,,,Malagala (Kaveripura ward): no OSM polygon found
gba-bbmp-180,BBMP#180,Byatagunte Playa,,,,,,,,Byatagunte Palya: no OSM polygon found
gba-bbmp-181,BBMP#181,Lingarajapura Lake,,,,,,,,Lingarajapura Lake: no OSM polygon found
gba-bbmp-182,BBMP#182,Geddalahalli,,,,,,,,Geddalahalli: no OSM polygon found
gba-bbmp-183,BBMP#183,Konena Agrahara,Kalena Agrahara Lake STP,12.865417,77.589667,1.35,1.53,19509702:Kalena Agrahara lake (1.5 ha),0,Konena Agrahara (C.V. Raman Nagar): no OSM polygon; the LMS match is Kalena Agrahara in the south
gba-bbmp-184,BBMP#184,(Lingannana Bilaekahalli Kere) (Disused lake),,,,,,,,Lingannana Bilekahalli kere: listed as disused; no OSM polygon
gba-bbmp-185,BBMP#185,Dorasanni Palya (Disused lake),,,,,,,,Dorasanipalya: listed as disused; no OSM polygon
gba-bbmp-186,BBMP#186,Ittmadu,,,,,,,,Ittamadu (Padmanabhanagar): no OSM polygon found
gba-bbmp-188,BBMP#188,Thavarekare,,,,,,,,Thavarekere (Padmanabhanagar): the OSM Tavarekere polygons are in Tavarekere town to the west
gba-bbmp-189,BBMP#189,Karisandra lake,,,,,,,,Karisandra lake: no OSM polygon found
gba-bbmp-190,BBMP#190,Nandi shettappa lake,,,,,,,,Nandi Shettappa lake: no OSM polygon found
gba-bbmp-192,BBMP#192,Bovimaranahalli,,,,,,,,Bovimaranahalli: no OSM polygon found
gba-bbmp-193,BBMP#193,Gundopanth lake,,,,,,,,Gundopanth lake: no OSM polygon found
gba-bbmp-194,BBMP#194,Kamakshipalya Lake,,,,,,,,Kamakshipalya Lake: no OSM polygon found
gba-bbmp-195,BBMP#195,Sanegoravanahalli Lake,,,,,,,,Sanegoravanahalli Lake: no OSM polygon found
gba-bbmp-196,BBMP#196,Agraharadasarahalli Lake,,,,,,,,Agrahara Dasarahalli Lake (Govindarajanagar): no OSM polygon found; the Dasarahalli tanks are a different area
