osm_id,osm_type,area_ha,water_type,lat,lng,current_name,current_name_ta,wikidata_qid,google_maps_url,osm_url,correct_name,correct_name_ta,action,notes
1624070,relation,29098.43,lake,13.45267,80.25319,Pulicat Lake,புலிகாட் ஏரி,,"https://www.google.com/maps/@13.45267,80.25319,15z",https://www.openstreetmap.org/relation/1624070,,,,
626129080,way,7518.71,water,13.73979,80.18834,Urugayya Lake,,,"https://www.google.com/maps/@13.73979,80.18834,15z",https://www.openstreetmap.org/way/626129080,,,,
117609789,way,5469.95,water,13.77873,80.07349,,,,"https://www.google.com/maps/@13.77873,80.07349,15z",https://www.openstreetmap.org/way/117609789,,,,
138348309,way,5452.14,water,13.5582,80.08272,,,,"https://www.google.com/maps/@13.55820,80.08272,15z",https://www.openstreetmap.org/way/138348309,,,,
117609779,way,4350.82,water,13.54233,80.25853,,,,"https://www.google.com/maps/@13.54233,80.25853,15z",https://www.openstreetmap.org/way/117609779,,,,
117609794,way,2531.58,water,13.86178,80.14913,,,,"https://www.google.com/maps/@13.86178,80.14913,15z",https://www.openstreetmap.org/way/117609794,,,,
117609817,way,2217.48,water,13.7923,80.13627,,,,"https://www.google.com/maps/@13.79230,80.13627,15z",https://www.openstreetmap.org/way/117609817,,,,
25453624,way,2000.44,reservoir,13.00537,80.04679,Chembarambakkam Lake,செம்பரம்பாக்கம் ஏரி,,"https://www.google.com/maps/@13.00537,80.04679,15z",https://www.openstreetmap.org/way/25453624,,,,
25394157,way,1945.47,reservoir,13.16778,80.16694,Red Hills Reservoir,செங்குன்றம் நீர்த்தேக்கம்,,"https://www.google.com/maps/@13.16778,80.16694,15z",https://www.openstreetmap.org/way/25394157,,,,
96724088,way,1924.75,river,12.74985,79.891,Palar River,,,"https://www.google.com/maps/@12.74985,79.89100,15z",https://www.openstreetmap.org/way/96724088,,,,
117609841,way,1600.48,water,13.65331,80.13082,,,,"https://www.google.com/maps/@13.65331,80.13082,15z",https://www.openstreetmap.org/way/117609841,,,,
117609840,way,1481.72,water,13.41872,80.31752,,,,"https://www.google.com/maps/@13.41872,80.31752,15z",https://www.openstreetmap.org/way/117609840,,,,
2336642,relation,1321.32,river,13.22958,80.27939,Ennore Creek,,,"https://www.google.com/maps/@13.22958,80.27939,15z",https://www.openstreetmap.org/relation/2336642,,,,
1017189242,way,1321.32,water,13.22958,80.27939,Kosasthalaiyar River,கோசஸ்தலை ஆறு,,"https://www.google.com/maps/@13.22958,80.27939,15z",https://www.openstreetmap.org/way/1017189242,,,,
117609825,way,1136,water,13.84906,80.21035,,,,"https://www.google.com/maps/@13.84906,80.21035,15z",https://www.openstreetmap.org/way/117609825,,,,
13620966,relation,1121.46,river,13.23385,80.01185,,,,"https://www.google.com/maps/@13.23385,80.01185,15z",https://www.openstreetmap.org/relation/13620966,,,,
28163842,way,1121.46,water,13.23385,80.01185,,,,"https://www.google.com/maps/@13.23385,80.01185,15z",https://www.openstreetmap.org/way/28163842,,,,
654660531,way,1014.46,water,13.57077,80.1445,,,,"https://www.google.com/maps/@13.57077,80.14450,15z",https://www.openstreetmap.org/way/654660531,,,,
